Afirik	Afrika
Sappo e go’o	11 (tall)
Sappo e tati	13 (tall)
Teemerre	100 (tall)
Miliyonji	Million
Sappo e nay	14 (tall)
Sappo e jowi	15 (tall)
Sappo e joweetati	18 (tall)
Ciifol Gaaza	Gazastripen
Sappo e joweenay	19 (tall)
Sappo e joweeɗiɗi	17 (tall)
Sappo e joweego	16 (tall)
Noogas	20 (tall)
Cappanɗe nayi	40 (tall)
Cappanɗe tati	30 (tall)
Booro	1000 (tall)
Montehermoso	Montehermoso
Lacuna Coil	Lacuna Coil
Cappanɗe joweego	60 (tall)
Coronel Fabriciano	Coronel Fabriciano
Ba Don	Ba Don
Ahmed Seeku Tuuree	Ahmed Sékou Touré
Aamadu Tumani Tuure	Amadou Toumani Touré
Tigranes II	Tigranes I av Armenia
Pullo	Fulani
Lansana Konte	Lansana Conté
Cappanɗe joweenayi	90 (tall)
Aañam-Goli	Agnam-Goly
Booro sappo	10 000
Paramore	Paramore
Aéroport de Tan Son Nhat	Tan Son Nhat internasjonale lufthavn
Cappanɗe joweetati	80 (tall)
Noogas e go’o	21 (tall)
Noogas e ɗiɗi	22 (tall)
Cappanɗe joweeɗiɗi	70 (tall)
Cappanɗe jowi	50 (tall)
Teemeɗɗe ɗiɗi	200 (tall)
Aéroport de Da Nang	Da Nang internasjonale lufthavn
Aéroport de Ca Mau	Ca Mau lufthavn
Teemeɗɗe tati	300 (tall)
Catégorie:Roosiya	Kategori:Russland
Catégorie:Hispaanya	Kategori:Spania
Catégorie:Vietnam	Kategori:Vietnam
Catégorie:Taariika	Kategori:Historie
Catégorie:Mbaalaandi	Kategori:Geografi
Catégorie:Diina	Kategori:Religion
Catégorie:Siyansi	Kategori:Vitenskap
Teemeɗɗe nayi	400 (tall)
Catégorie:Duungal	Kategori:Kontinenter
Catégorie:Leydi	Kategori:Land
Wikipedia:Administrateurs	Wikipedia:Administratorer
Catégorie:Yimɓe	Kategori:Personer
Modèle:Bot	Mal:Bot
Wikipedia:Copyrights	Wikipedia:Opphavsrett
Catégorie:Yuroopu	Kategori:Europa
Modèle:Documentation	Mal:Dokumentasjon
Catégorie:Babel	Kategori:Wikipedia-brukere etter språk
Modèle:Softredirect	Mal:Softredirect
Modèle:Db	Mal:Hurtigsletting
Catégorie:Wikipeediya	Kategori:Wikipedia
Wikipedia:Statistiques	Wikipedia:Statistikk
Modèle:!	Mal:!
Modèle:Clear	Mal:Clear
Catégorie:Afirik	Kategori:Afrika
Catégorie:Limle	Kategori:Tall
Modèle:Babel	Mal:Babel
Modèle:Commons	Mal:Commons
Modèle:Stub	Mal:Stubb
Modèle:User af-1	Mal:Bruker af-1
Modèle:User ar-1	Mal:Bruker ar-1
Modèle:User ast-1	Mal:Bruker ast-1
Modèle:User az	Mal:Bruker az
Modèle:User bar-1	Mal:Bruker bar-1
Modèle:User eo-1	Mal:Bruker eo-1
Modèle:User da-2	Mal:Bruker da-2
Modèle:User da	Mal:Bruker da
Modèle:User ca-1	Mal:Bruker ca-1
Modèle:User ca-4	Mal:Bruker ca-4
Modèle:User be-2	Mal:Bruker be-2
Modèle:User da-1	Mal:Bruker da-1
Modèle:User cs-1	Mal:Bruker cs-1
Modèle:User eo-3	Mal:Bruker eo-3
Modèle:User de	Mal:Bruker de
Modèle:User de-1	Mal:Bruker de-1
Modèle:User eu	Mal:Bruker eu
Modèle:User et-1	Mal:Bruker et-1
Modèle:User es	Mal:Bruker es
Modèle:User de-3	Mal:Bruker de-3
Modèle:User en-3	Mal:Bruker en-3
Modèle:User en-1	Mal:Bruker en-1
Modèle:User en-2	Mal:Bruker en-2
Modèle:User eo-2	Mal:Bruker eo-2
Modèle:User en-4	Mal:Bruker en-4
Modèle:User fi	Mal:Bruker fi
Modèle:User en-0	Mal:Bruker en-0
Modèle:User es-4	Mal:Bruker es-4
Modèle:User en	Mal:Bruker en
Modèle:User de-2	Mal:Bruker de-2
Modèle:User es-1	Mal:Bruker es-1
Modèle:User fr-1	Mal:Bruker fr-1
Modèle:User ia-2	Mal:Bruker ia-2
Modèle:User he-1	Mal:Bruker he-1
Modèle:User io-3	Mal:Bruker io-3
Modèle:User it-3	Mal:Bruker it-3
Modèle:User ja-4	Mal:Bruker ja-4
Modèle:User sk	Mal:Bruker sk
Modèle:User tr-2	Mal:Bruker tr-2
Modèle:User fr-2	Mal:Bruker fr-2
Modèle:User tr	Mal:Bruker tr
Modèle:User ja	Mal:Bruker ja
Modèle:User ja-1	Mal:Bruker ja-1
Modèle:User it-1	Mal:Bruker it-1
Modèle:User hr-1	Mal:Bruker hr-1
Modèle:User fr	Mal:Bruker fr
Modèle:User he	Mal:Bruker he
Catégorie:Aasiya	Kategori:Asia
Catégorie:User uk	Kategori:Bruker uk
Modèle:Mod	Mal:Mod
Modèle:User sv	Mal:Bruker sv
Modèle:User it	Mal:Bruker it
Modèle:User es-2	Mal:Bruker es-2
Catégorie:User fr-1	Kategori:Bruker fr-1
Modèle:Official website	Mal:Offisielt nettsted
Catégorie:User en-4	Kategori:Bruker en-4
Catégorie:User en	Kategori:Bruker en
Catégorie:User zh	Kategori:Bruker zh
Catégorie:User zh-N	Kategori:Bruker zh-N
Catégorie:User en-2	Kategori:Bruker en-2
Modèle:User eo	Mal:Bruker eo
Modèle:User zh	Mal:Bruker zh
Modèle:User ru-4	Mal:Bruker ru-4
Modèle:User nl-1	Mal:Bruker nl-1
Modèle:User nl-2	Mal:Bruker nl-2
Modèle:User ru	Mal:Bruker ru
Catégorie:Aameerik	Kategori:Amerika
Modèle:Ɗemngal e innde mun	Mal:Language with name
Modèle:User pt-1	Mal:Bruker pt-1
Modèle:User nl	Mal:Bruker nl
Modèle:User no-2	Mal:Bruker no-2
Modèle:User fr-3	Mal:Bruker fr-3
Modèle:User lt	Mal:Bruker lt
Modèle:Oppose	Mal:Imot
Modèle:User ar-2	Mal:Bruker ar-2
Modèle:User ar-3	Mal:Bruker ar-3
Modèle:User ar	Mal:Bruker ar
Modèle:User fr-0	Mal:Bruker fr-0
Catégorie:User ja-N	Kategori:Bruker ja-N
Modèle:User als	Mal:Bruker als
Modèle:URL	Mal:URL
Modèle:User no	Mal:Bruker no
Modèle:User fr-4	Mal:Bruker fr-4
Catégorie:User az	Kategori:Bruker az
Catégorie:User be	Kategori:Bruker be
Catégorie:User hr	Kategori:Bruker hr
Catégorie:User sk	Kategori:Bruker sk
Catégorie:User eo	Kategori:Bruker eo
Catégorie:User fr	Kategori:Bruker fr
Catégorie:User ja	Kategori:Bruker ja
Catégorie:User lt	Kategori:Bruker lt
Catégorie:User mk	Kategori:Bruker mk
Catégorie:User pt	Kategori:Bruker pt
Catégorie:User sv	Kategori:Bruker sv
Catégorie:User it-3	Kategori:Bruker it-3
Catégorie:User ar-3	Kategori:Bruker ar-3
Catégorie:User cs-1	Kategori:Bruker cs-1
Catégorie:User da-1	Kategori:Bruker da-1
Catégorie:User mk-1	Kategori:Bruker mk-1
Catégorie:User nl-1	Kategori:Bruker nl-1
Catégorie:User ar-4	Kategori:Bruker ar-4
Catégorie:User be-2	Kategori:Bruker be-2
Catégorie:User da-2	Kategori:Bruker da-2
Catégorie:User fr-2	Kategori:Bruker fr-2
Catégorie:User nl-2	Kategori:Bruker nl-2
Catégorie:User tr-2	Kategori:Bruker tr-2
Catégorie:User ar-2	Kategori:Bruker ar-2
Catégorie:User fr-N	Kategori:Bruker fr-N
Catégorie:User lt-N	Kategori:Bruker lt-N
Catégorie:User no-N	Kategori:Bruker no-N
Catégorie:User ru-N	Kategori:Bruker ru-N
Catégorie:User af	Kategori:Bruker af
Catégorie:User af-1	Kategori:Bruker af-1
Catégorie:User als	Kategori:Bruker als
Catégorie:User als-1	Kategori:Bruker als-1
Catégorie:User ar	Kategori:Bruker ar
Catégorie:User ast	Kategori:Bruker ast
Catégorie:User ast-1	Kategori:Bruker ast-1
Catégorie:User az-N	Kategori:Bruker az-N
Catégorie:User bar	Kategori:Bruker bar
Catégorie:User bar-1	Kategori:Bruker bar-1
Catégorie:User bg	Kategori:Bruker bg
Catégorie:User bg-1	Kategori:Bruker bg-1
Catégorie:User ca	Kategori:Bruker ca
Catégorie:User ca-1	Kategori:Bruker ca-1
Catégorie:User ca-4	Kategori:Bruker ca-4
Catégorie:User cs	Kategori:Bruker cs
Catégorie:User da	Kategori:Bruker da
Catégorie:User sk-N	Kategori:Bruker sk-N
Catégorie:User de	Kategori:Bruker de
Catégorie:User de-2	Kategori:Bruker de-2
Catégorie:User de-3	Kategori:Bruker de-3
Catégorie:User de-N	Kategori:Bruker de-N
Catégorie:User en-3	Kategori:Bruker en-3
Catégorie:User en-N	Kategori:Bruker en-N
Catégorie:User eo-1	Kategori:Bruker eo-1
Catégorie:User eo-3	Kategori:Bruker eo-3
Catégorie:User eo-N	Kategori:Bruker eo-N
Catégorie:User es	Kategori:Bruker es
Catégorie:User es-1	Kategori:Bruker es-1
Catégorie:User es-2	Kategori:Bruker es-2
Catégorie:User es-4	Kategori:Bruker es-4
Catégorie:User es-N	Kategori:Bruker es-N
Catégorie:User hr-1	Kategori:Bruker hr-1
Catégorie:User pl-N	Kategori:Bruker pl-N
Catégorie:User it	Kategori:Bruker it
Catégorie:User it-1	Kategori:Bruker it-1
Catégorie:User ja-1	Kategori:Bruker ja-1
Catégorie:User ru-1	Kategori:Bruker ru-1
Modèle:User sv-1	Mal:Bruker sv-1
Catégorie:Njuɓɓudi naangeyankoori	Kategori:Solsystemet
Modèle:User cs	Mal:User cs
Modèle:User ru-2	Mal:Bruker ru-2
Modèle:User ko-3	Mal:Bruker ko-3
Catégorie:User pt-0	Kategori:Bruker pt-0
Catégorie:User pt-N	Kategori:Bruker pt-N
Catégorie:User ru	Kategori:Bruker ru
Catégorie:User ru-2	Kategori:Bruker ru-2
Catégorie:User ru-4	Kategori:Bruker ru-4
Catégorie:User sr	Kategori:Bruker sr
Catégorie:User sr-1	Kategori:Bruker sr-1
Catégorie:User sv-1	Kategori:Bruker sv-1
Catégorie:User sv-3	Kategori:Bruker sv-3
Catégorie:User tr	Kategori:Bruker tr
Catégorie:User tr-N	Kategori:Bruker tr-N
Catégorie:User uk-4	Kategori:Bruker uk-4
Catégorie:User vi	Kategori:Bruker vi
Catégorie:User vi-N	Kategori:Bruker vi-N
Modèle:User sv-3	Mal:Bruker sv-3
Catégorie:Gine	Kategori:Guinea
Catégorie:Maali	Kategori:Mali
Catégorie:Muritani	Kategori:Mauritania
Modèle:User ar-4	Mal:Bruker ar-4
Modèle:User ko	Mal:Bruker ko
Modèle:User mk-1	Mal:Bruker mk-1
Modèle:User no-1	Mal:Bruker no-1
Modèle:User pt	Mal:Bruker pt
Modèle:User ru-1	Mal:Bruker ru-1
Modèle:User sr-1	Mal:Bruker sr-1
Modèle:User uk-4	Mal:Bruker uk-4
Modèle:User zh-1	Mal:Bruker zh-1
Modèle:User zh-2	Mal:Bruker zh-2
Catégorie:Senegal	Kategori:Senegal
Catégorie:User nl	Kategori:Bruker nl
Catégorie:User no-1	Kategori:Bruker no-1
Catégorie:User no-2	Kategori:Bruker no-2
Catégorie:User no	Kategori:Bruker no
Catégorie:User zh-1	Kategori:Bruker zh-1
Catégorie:User zh-2	Kategori:Bruker zh-2
Catégorie:East Timor	Kategori:Øst-Timor
Catégorie:Dabbaji	Kategori:Dyr
Catégorie:Ndenndaandi	Kategori:Republikker
Catégorie:User pl	Kategori:Bruker pl
Trojany	Trojany
Modèle:User vi	Mal:Bruker vi
Catégorie:User en-1	Kategori:Bruker en-1
Catégorie:User de-1	Kategori:Bruker de-1
Catégorie:User da-N	Kategori:Bruker da-N
Modèle:User ru-3	Mal:Bruker ru-3
Spécial:Modifications récentes	Spesial:Siste endringer
Catégorie:User ja-4	Kategori:Bruker ja-4
