དབུས་ཨ་ཧྥེ་རི་ཁན་རི་པཔ་ལིཀ།	Den sentralafrikanske republikk
སེར་པོ།	Gul
ཊོ་གོ	Togo
ཏུ་ནི་ཤི་ཡ།	Tunisia
ཛམ་བི་ཡ།	Zambia
ཛིམ་བབ་ཝི།	Zimbabwe
པེ་ཅིང་གྲོང་ཁྱེར།	Beijing
བེ་ནིན།	Benin
བྷོ་ཙི་ཝ་ན།	Botswana
བུར་ཀི་ན་ཕ་སོ།	Burkina Faso
བུ་རུན་ཌི།	Burundi
ཁོ་མོ་རོ་སུ།	Komorene
ཀོང་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Republikken Kongo
ཀོང་གོ་མི་དམངས་དམངས་གཙོ།	Den demokratiske republikken Kongo
ཇི་བའོ་ཊི།	Djibouti
ཨི་ཁུའ་ཊོ་རལ་གི་ནེ།	Ekvatorial-Guinea
ཨི་རི་ཏྲའ།	Eritrea
ནེའུ་དིལ་ལི།	New Delhi
ཁྲེ་བྷི་ལི་སི།	Tbilisi
གེ་བོན།	Gabon
གེམ་བྷི་ཡ།	Gambia
གི་ནེ།	Guinea
གི་ནེ་-བི་སའོ།	Guinea-Bissau
ཀོ་ཊི་ཌི་ཨའི་བོ་རི།	Elfenbenskysten
ཁམ་མུ་རོན།	Kamerun
ཁེབ་ཝར་ཌི།	Kapp Verde
ལི་སོ་ཐོ།	Lesotho
ལི་བེ་རི་ཡ།	Liberia
ལི་པི་ཡ།	Libya
མ་ད་གཱ་སི་ཀར།	Madagaskar
མ་ལ་ཝི།	Malawi
མའུ་རི་ཏ་ནི་ཡ།	Mauritania
མའུ་རི་ཊིའུ་སུ།	Mauritius
མོ་རོ་ཁོ།	Marokko
མོ་ཛམ་བིཀ།	Mosambik
ན་མི་བྷི་ཡ།	Namibia
ནི་ཇར།	Niger
ནི་ཇི་རི་ཡ།	Nigeria
ཨུ་གན་ད།	Uganda
རུ་ཝན་ཌ།	Rwanda
སའོ་ཊོ་མེ་དང་པི་རིན་སི་པ།	São Tomé og Príncipe
སི་ནི་གཱལ།	Senegal
སེ་ཞེལ།	Seychellene
སི་ར་ལེ་ཨོན།	Sierra Leone
སོ་མ་ལི།	Somalia
ཡིའུ་ལི་ཝུའུ་སི་ཁའེ་ས།	Julius Cæsar
སུའུ་ཏན།	Sudan
སུ་ཝ་ཛི་ལནཌ།	Swaziland
འཇའ།	Regnbue
གྷུ་ཇ་རཱཏ།	Gujarat
