ܐܦܪܝܩܐ	Afrika
ܬܠܬܒܫܒܐ	Tirsdag
ܐܪܒܥܒܫܒܐ	Onsdag
ܚܡܫܒܫܒܐ	Torsdag
ܥܪܘܒܬܐ	Fredag
ܫܒܬܐ (ܙܒܢܐ)	Lørdag
ܚܕܒܫܒܐ	Søndag
ܐܪܝܐ	Løve
ܦܪܢܣܐ	Frankrike
ܟܠܒܐ	Tamhund
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	Storbritannia
ܩܛܐ	Tamkatt
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	Folkerepublikken Kina
ܠܫܢܐ ܦܪܢܣܝܐ	Fransk
ܒܪܐܙܝܠ	Brasil
ܪܘܣܝܐ	Russland
ܝܡܐ	Hav
ܝܡܐ ܐܘܟܡܐ	Svartehavet
Π	Pi (bokstav)
ܐܠܒܐܡܐ	Alabama
ܣܐܘ ܦܐܘܠܘ	São Paulo
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	Québec
ܓܪܡܢ	Tyskland
ܒܠܐܪܘܣ	Hviterussland
ܠܫܢܐ ܓܪܡܢܝܐ	Tysk
ܐܠܗܐ	Gud
ܐܣܛܘܢܝܐ	Estland
ܛܝܣܬܐ	Fly
ܩܪܒܐ	Krig
1 (ܡܢܝܢܐ)	1 (tall)
2 (ܡܢܝܢܐ)	2 (tall)
3 (ܡܢܝܢܐ)	3 (tall)
4 (ܡܢܝܢܐ)	4 (tall)
5 (ܡܢܝܢܐ)	5 (tall)
ܠܐܛܒܝܐ	Latvia
ܐܘܩܪܐܝܢܐ	Ukraina
ܬܫܝܟ	Tsjekkia
ܣܠܘܒܩܝܐ	Slovakia
ܣܠܘܒܢܝܐ	Slovenia
ܡܘܠܕܘܒܐ	Moldova
ܪܘܡܢܝܐ	Romania
ܒܘܠܓܐܪܝܐ	Bulgaria
ܪܗܘܡܐ (ܡܕܝܢܬܐ)	Roma
ܩܘܛܢܝܘܬܐ ܕܡܩܕܘܢܝܐ	Republikken Makedonia
ܐܠܒܢܝܐ	Albania
ܩܪܘܐܛܝܐ	Kroatia
ܒܘܣܢܐ ܘܗܪܬܣܓܘܒܝܢܐ	Bosnia-Hercegovina
ܐܙܪܒܝܓܐܢ	Aserbajdsjan
ܐܢܕܘܪܐ	Andorra
ܩܘܦܪܘܣ	Republikken Kypros
ܓܘܪܓܝܐ (ܐܬܪܐ)	Georgia
ܩܙܩܣܛܐܢ	Kasakhstan
ܡܝܠܛܐ	Malta
ܡܘܢܐܩܘ	Monaco
ܛܘܪܐ ܐܘܟܡܐ	Montenegro
ܡܕܝܢܬܐ ܕܘܛܝܩܢ	Vatikanstaten
ܣܢ ܡܪܝܢܘ	San Marino
ܒܪܘܟܣܠ	Brussel
ܠܘܕܒܝܓ ܒܐܢ ܒܝܛܗܘܒܢ	Ludwig van Beethoven
ܠܫܢܐ ܛܘܪܩܝܐ	Tyrkisk
ܓܙܐܐܪ	Algerie
ܐܘܙܒܩܣܛܐܢ	Usbekistan
ܘܐܪܣܘ	Warszawa
ܚܡܪܐ (ܫܬܝܐ)	Vin
ܡܝܐ	Vann
ܦܪܣ ܚܙܘܐ	Fjernsyn
ܬܫܝܠܝ	Chile
ܐܠ ܓܪܝܩܘ	El Greco
ܝܫܘܥ	Jesus Kristus
ܠܫܢܐ (ܡܡܠܠܐ)	Språk
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	Diktatur
ܡܡܠܠܘܬ ܟܘܟܒܐ	Astronomi
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	Jomfru Maria
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܫܢܐ ܠܐܛܝܢܝܐ	Latin
ܒܚܪܝܢ	Bahrain
ܐܪܡܢܝܐ	Armenia
ܣܪܒܝܐ	Serbia
ܣܗܪܐ	Månen
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Istanbul
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Australia
ܦܝܣܝܟ	Fysikk
ܩܘܪܐܢ	Koranen
ܐܣܠܐܡ	Islam
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Fred
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	Den europeiske union
ܐܢܬܬܐ	Kvinne
ܛܝܙܐ	Anus
ܗܒܒܐ	Blomst
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomi
ܡܕܝܢܬܐ	By
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoléon Bonaparte
ܟܘܟܒܐ	Stjerne
ܫܡܫܐ	Solen
ܩܪܝܬܐ	Landsby
ܝܡܐ ܕܡܕܢܚܐ	Østersjøen
ܫܢܐ	Tann
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Bok
ܝܘܡܐ	Dag
ܠܠܝܐ	Natt
ܫܢܬܐ (ܙܒܢܐ)	År
ܕܪܐ	Århundre
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lisboa
ܦܠܝܛܐ	Planet
ܙܡܪܘܬܐ	Musikk
ܡܘܣܩܒܐ	Moskva
ܠܫܢܐ ܐܝܛܠܝܐ	Italiensk
ܬܫܐܕ	Tsjad
ܬܝܡܢܐ	Nord
ܢܝܘ ܙܝܠܢܕ	New Zealand
ܓܪܒܝܐ	Sør
ܗܢܕܘ	India
ܦܪܙܠܐ	Jern
ܡܥܪܒܐ	Vest
ܡܕܢܚܐ	Øst
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Sjakk
ܡܝܢ	Maine
ܣܘܣܝܐ	Hest
ܐܡܣܛܪܕܐܡ	Amsterdam
ܙܝܢܐ	Våpen
ܚܝܘܬܐ	Dyr
ܩܘܠܘܡܒܝܐ	Colombia
ܢܝܘ ܗܐܡܦܫܪ	New Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Utrecht (provins)
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Iran
ܥܝܪܐܩ	Irak
ܐܠܐܣܟܐ	Alaska
ܐܝܣܪܐܝܠ	Israel
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht (by)
ܝܡܢ	Jemen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Polsk
ܝܘܪܕܢܢ	Jordan
ܩܝܪܓܝܙܣܛܐܢ	Kirgisistan
ܐܪܝܙܘܢܐ	Arizona
ܟܘܘܝܬ (ܐܬܪܐ)	Kuwait
ܠܒܢܢ	Libanon
ܐܘܪܝܓܘܢ	Oregon
ܐܡܪܝܩܐ	Amerika
ܝܘܬܐ	Utah
ܥܘܡܐܢ	Oman
ܦܐܩܣܛܐܢ	Pakistan
ܩܛܪ	Qatar
ܣܥܘܕܝܐ	Saudi-Arabia
ܝܘܣܦ ܣܛܐܠܝܢ	Josef Stalin
ܣܘܪܝܐ	Syria
ܛܐܓܝܩܣܛܐܢ	Tadsjikistan
ܦܪܣ ܩܠܐ	Radio
ܛܘܪܩܡܢܣܛܐܢ	Turkmenistan
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	De forente arabiske emirater
ܐܦܓܐܢܣܛܐܢ	Afghanistan
ܕܗܒܐ	Gull
ܡܠܝ	Mali
ܦܝܠܝܦܝܢܝܐ	Filippinene
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	Den sentralafrikanske republikk
ܐܝܣܚܩ ܢܝܘܛܢ	Isaac Newton
ܫܥܘܬܐ (ܓܘܢܐ)	Gul
ܬܘܢܣ (ܐܬܪܐ)	Tunisia
ܬܝܡܢܐ ܕܣܘܕܐܢ	Sør-Sudan
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	Republikken Kongo
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	Den demokratiske republikken Kongo
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	Johannes Paul II
ܛܒܝܠܝܣܝ	Tbilisi
ܩܐܡܪܘܢ	Kamerun
ܠܘܒܐ	Libya
ܡܘܪܝܛܢܝܐ	Mauritania
ܡܓܪܒ	Marokko
ܢܝܓܪ	Niger
ܣܘܕܐܢ	Sudan
ܩܫܬܐ ܕܡܪܢ	Regnbue
ܗܐܡܒܘܪܓ	Hamburg
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	Ontariosjøen
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	Lake Superior
ܓܐܘܓܪܦܝܐ	Geografi
ܠܒܐ	Hjerte
ܡܘܚܐ	Hjerne
ܓܠܕܐ	Hud
ܓܘܢܐ	Farge
ܦܪܐܓ	Praha
ܙܪܩܐ	Blå
ܟܣܦܐ (ܣܐܡܐ)	Sølv
ܡܫܝܓܢ	Michigan
ܝܡܬܐ ܕܡܝܫܝܓܢ	Michigansjøen
ܐܠܝܢܘܝ	Illinois
ܢܘܪܬ ܕܐܟܘܬܐ	Nord-Dakota
ܣܐܘܬ ܕܐܟܘܬܐ	Sør-Dakota
ܡܘܢܬܐܢܐ	Montana
ܘܐܝܘܡܝܢܓ	Wyoming
ܐܘܪܫܠܡ	Jerusalem
ܐܝܕܐܗܘ	Idaho
ܢܝܒܐܕܐ	Nevada
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	Indiahavet
ܟܘܠܘܪܐܕܘ	Colorado
ܫܝܩܓܘ	Chicago
ܣܬܘܐ	Vinter
ܬܕܐܐ	Vår
ܩܝܛܐ	Sommer
ܬܫܪܝܬܐ	Høst
ܨܕܐܡ ܚܘܣܝܢ	Saddam Hussein
ܠܫܢܐ ܐܣܦܢܝܐ	Spansk
ܓܘܓܝ	Edderkopper
ܐܒܐ (ܦܐܪܐ)	Frukt
ܩܘܦܐ	Apekatter
ܒܪܓܝܢܝܐ	Virginia
ܝܡܬܐ ܕܝܘܪܘܢ	Huronsjøen
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	New York (delstat)
ܪܘܕ ܐܝܠܐܢܕ	Rhode Island
ܪܚܫܐ	Insekter
ܡܐܪܝܠܐܢܕ	Maryland
ܕܝܠܐܘܝܪ	Delaware
ܐܘܗܐܝܘ	Ohio
ܦܢܣܝܠܒܐܢܝܐ	Pennsylvania
ܐܝܛܙܢ	Uetersen
ܐܓܘܣܛܘܣ ܩܣܪ	Augustus
ܢܝܘ ܓܝܪܣܝ	New Jersey
ܐܢܕܝܐܢܐ	Indiana
ܪܕܝܬܐ	Bil
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Georgia (USA)
ܣܩܠܝܐ	Sicilia
ܣܢ (ܢܗܪܐ)	Seine
ܛܘܩܝܘ	Tokyo
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	Ferdinand Magellan
ܢܝܘ ܡܝܟܣܝܟܘ	New Mexico
ܐܬܢܘܣ	Athen
ܡܢܝܣܘܬܐ	Minnesota
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	Bagdad
ܘܝܣܟܘܢܣܢ	Wisconsin
ܐܝܐܘܐ	Iowa
ܢܝܒܪܐܣܟܐ	Nebraska
ܟܐܢܣܐܣ	Kansas
ܡܝܙܘܪܝ	Missouri
ܐܪܟܢܣܐܣ	Arkansas
ܠܫܢܐ ܕܐܘܪܕܘ	Urdu
ܐܘܟܠܐܗܘܡܐ	Oklahoma
ܝܡܐ ܕܓܪܒܝܐ	Nordsjøen
ܒܝܝܢܐ	Wien
ܩܘܦܢܗܐܓܢ	København
ܣܛܘܩܗܘܠܡ	Stockholm
ܗܠܣܢܩܝ	Helsingfors
ܕܒܠܢ	Dublin
ܒܪܛܝܣܠܐܒܐ	Bratislava
ܟܬܒܐ ܩܕܝܫܐ	Bibelen
ܠܫܢܐ ܐܢܓܠܝܐ	Engelsk
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	Concepción
ܐܘܢܛܐܪܝܘ	Ontario
ܡܐܢܝܛܘܒܐ	Manitoba
ܐܠܒܪܛܐ	Alberta
ܢܘܒܐ ܣܩܘܛܝܐ	Nova Scotia
ܩܘܢܣܩܘܒܘܠܐ	Końskowola
ܢܝܘ ܒܪܘܢܙܘܝܩ	New Brunswick
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	Britisk Columbia
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	Prince Edward Island
ܣܐܣܩܐܬܫܘܐܢ	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	Newfoundland og Labrador
2008	2008
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	Nordvestterritoriene
ܝܘܩܘܢ	Yukon
2005	2005
2006	2006
ܢܘܢܐܒܘܛ	Nunavut
2007	2007
ܡܐܟܘܠܬܐ	Mat
ܚܘܝܐ	Slanger
ܩܘܪܘܦ	Kurów
ܟܝܡܝܐ	Kjemi
1968	1968
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	Holocaust
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	Madrid
ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Canadas provinser og territorier
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	Santiago de Chile
ܚܐܪܘܬܐ	Frihet
ܣܝܕܢܝ	Sydney
ܝܪܘܩܐ	Grønn
ܡܠܒܘܪܢ	Melbourne
ܣܘܡܩܐ	Rød
ܢܘܪܐ (ܕܠܩܐ)	Ild
ܢܝܠܘܣ	Nilen
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	Alger
ܬܘܢܣ (ܡܕܝܢܬܐ)	Tunis
ܛܗܪܐܢ	Teheran
ܐܢܩܪܐ	Ankara
ܢܝܐܡܝ	Niamey
ܒܡܩܘ	Bamako
ܕܪܡܣܘܩ	Damaskus
ܥܡܐܢ	Amman
ܒܝܪܘܬ	Beirut
ܒܝܬ ܨܘܒܐ	Universitet
ܒܝܬܐ (ܒܢܝܢܐ)	Hus
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	Australia (kontinent)
ܢܗܪܐ	Elv
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	Kapp det gode håp
ܫܘܚܡܠܐ	Investering
ܩܘܪܝܛܝܒܐ	Curitiba
ܥܒܐ	Skog
ܩܘܢܦܘܫܝܘܣ	Konfucius
ܩܢܐ	Fuglerede
ܐܘܪܘ	Euro
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	Middelhavet
ܓܘܪܓܝܐ	Georgia (andre betydninger)
ܡܫܝܚܝܘܬܐ	Kristendom
ܩܠܒܐ:ܐܘܝܐ	Mal:For
ܪܘܙܐ	Ris
ܝܒܫܬܐ	Kontinent
ܛܝܪܐ	Fugler
ܐܪܫܟܝܬܐ	Hovedstad
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	Portugisisk
ܝܪܚܐ	Måned
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	Mustafa Kemal Atatürk
ܐܠܡܐܙܢ	Almazán
ܠܫܢܐ ܝܦܢܝܐ	Japansk
ܦܐܬܐ ܪܝܫܝܬܐ	Portal:Forside
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	Francisco Goya
ܝܡܐ ܐܚܪܝܐ	Det kaspiske hav
ܝܡܬܐ ܕܐܝܪܝ	Eriesjøen
ܣܠܒܐܕܘܪ ܕܐܠܝ	Salvador Dalí
ܒܢܣܢܬ ܦܢ ܟܘܟ	Vincent van Gogh
ܦܪܝܕܐ ܩܐܠܘ	Frida Kahlo
ܗܢܪܝ ܡܐܛܝܣ	Henri Matisse
ܡܝܟܠܐܢܓܠܘ	Michelangelo
ܦܒܠܘ ܦܝܩܐܣܘ	Pablo Picasso
ܪܡܒܪܢܛ	Rembrandt
ܐܢܕܝ ܘܘܪܗܘܠ	Andy Warhol
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	Ninive
ܒܒܠ	Babylon
ܐܝܪܝܚܘ	Jeriko
ܩܛܠܘܢܝܐ	Catalonia
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	Madrid (autonom region)
ܒܝܬ ܠܚܡ	Betlehem
ܣܕܪܐ:Candidates for speedy deletion	Kategori:Sider som er foreslått raskt slettet
ܪܫܡܠܘܬܐ	Kapitalisme
ܐܘܡܬܐ	Nasjon
ܩܪܬܐܓܘ	Karthago
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Kategori:Astronomi
ܨܚܪܐܐ	Sahara
ܫܐܕܐ	Djevel
ܒܝܬ ܟܬܒܐ	Bibliotek
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	Regjering
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	Qin Shi Huangdi
ܡܕܢܚܐ ܡܨܥܝܬܐ	Midtøsten
ܡܠܟܘܬܐ	Monarki
ܩܘܛܢܝܘܬܐ	Republikk
ܐܬܪܐ	Stat
ܓܒܐ	Politisk parti
ܝܗܘܕܝܐ	Jøder
ܝܡܡܬܐ ܪܘܪܒܬܐ	De store sjøer
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	Sørishavet
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Øre
ܢܚܝܪܐ	Nese
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Øye
ܥܘܩܒܪܬܐ	Muskel
ܙܡܝܪܬܐ	Sang
ܓܡܠܐ	Kameler
ܫܘܫܡܢܐ	Maur
ܕܒܫܬܐ	Bier
ܠܫܢܐ ܗܘܠܢܕܝܐ	Nederlandsk
ܐܡܐ (ܒܝܬܝܘܬܐ)	Mor
ܐܒܐ (ܒܝܬܝܘܬܐ)	Far
1847	1847
ܨܦܪܐ (ܙܒܢܐ)	Morgen
ܪܡܫܐ	Kveld
ܩܛܝܢܬܐ	Minutt
ܠܫܢܐ ܪܘܣܝܐ	Russisk
ܠܫܢܐ ܨܝܢܝܐ	Kinesisk
ܕܡܐ	Blod
ܬܓܪܘܡܬܐ	Skjelett
ܪܐܬܐ	Lunge
ܠܫܢܐ ܪܘܡܢܝܐ	Rumensk
ܡܛܪܐ	Regn
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	Nelson Mandela
ܐܒܢܐ	Bergart
ܥܢܢܐ	Sky
ܩܢܘܢܐ ܕܠܥܙܐ	Grammatikk
ܠܫܢܐ ܓܘܪܓܝܐ	Georgisk
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	Samfunnsøkonomi
ܙܘܙܐ	Valuta
ܡܕܐܬܐ	Skatt
ܐܠܦܒܝܬ ܥܪܒܝܐ	Det arabiske alfabetet
ܐܠܦܒܝܬ ܝܘܢܝܐ	Det greske alfabetet
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Det latinske alfabetet
ܣܕܪܐ:ܦܪܢܣܐ	Kategori:Frankrike
ܟܢܫܐ	Samfunn
ܓܒܪܐ	Mann
ܙܘܘܓܐ	Ekteskap
ܙܕܩܐ ܕܒܪܢܫܐ	Menneskerettigheter
ܩܪܒܐ ܓܘܝܐ	Borgerkrig
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	Brystbein
ܬܪܝܢܐ	Jus (drikk)
ܚܠܒܐ (ܕܝܘܒܐ)	Melk
ܛܘܪܐ	Fjell
ܡܕܒܪܐ	Ørken
ܠܫܢܐ ܐܠܒܢܝܐ	Albansk
ܠܫܢܐ ܐܪܡܢܝܐ	Armensk
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	Johann Gutenberg
ܠܫܢܐ ܣܘܝܕܝܐ	Svensk
ܢܝܩܘܠܐ ܛܣܠܐ	Nikola Tesla
ܡܘܫܐ	Moses
ܬܕܐ	Bryst
ܢܘܗܪܐ (ܚܙܝܬܐ)	Lys
ܠܫܢܐ ܝܘܢܝܐ	Gresk
ܠܫܢܐ ܦܪܣܝܐ	Persisk
ܬܘܕܝܬܐ	Religion
ܐܒܪܗܡ	Abraham (bibelsk person)
ܣܦܪܐ ܕܒܪܝܬܐ	Første Mosebok
ܠܫܢܐ ܩܢܛܘܢܝܐ	Standard kantonesisk
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	Mandarin (språk)
ܦܘܠܘܣ ܫܠܝܚܐ	Apostelen Paulus
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	Sigmund Freud
ܙܠܛܐ	Salat (mat)
ܝܗܘܕܝܘܬܐ	Jødedom
ܠܫܢܐ ܥܒܪܝܐ	Hebraisk
ܟܒܕܐ	Lever
ܛܚܠܐ	Milt
ܟܘܠܝܬܐ	Nyre
ܫܠܦܘܚܬܐ	Urinblære
ܐܫܟܐ	Testikkel
ܐܘܩܝܢܘܣ	Verdenshav
ܒܘܕܗܐ	Buddha
ܡܘܚܡܕ	Muhammed
ܟܪܣܐ	Abdomen
ܚܒܠܐ ܟܘܒܝܐ	Ryggmargen
ܘܪܝܕܐ	Vene
ܡܪܒܥܐ	Livmor
ܠܫܢܐ (ܗܕܡܐ)	Tunge
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Hals
ܦܘܡܐ	Munn
ܓܓܪܬܐ	Strupehode
ܫܪܝܬܐ	Ledd
ܬܝܪܬܐ	Kjertel
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Mellomgolv
ܫܪܝܢܐ	Arterie
A	A
B	B
ܢܘܛܦܬܐ	Sperma
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	Alfabet
T	T
C	C
R	R
D	D
Α	Alfa
Ω	Omega
I	I
Μ	My
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	Haarlem
K	K
L	L
M	M (bokstav)
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	Enschede
ܗܢܓܠܘ	Hengelo (Overijssel)
Φ	Phi
ܝܘܢܐ	Duer
ܐܝܠܢܐ	Tre
Λ	Lambda
ܓܒܬܐ	Ost
ܥܢܒܬܐ	Druer
ܕܒܫܐ	Honning
ܒܣܪܐ	Kjøtt
ܫܟܪ	Sukker
ܣܦܪܙܒܢܐ	Avis
ܙܥܘܩܐ	Telefon
ܡܪܕܘܬܐ	Kultur
ܡܥܝܐ ܥܒܝܐ	Tykktarm
ܡܥܝܐ ܩܛܝܢܐ	Tynntarm
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	Juliansk kalender
ܐܣܝܘܬܐ	Medisin
ܣܕܪܐ:ܒܪܐܙܝܠ	Kategori:Brasil
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	Vinkel
ܬܘܩܦܐ	Energi
ܣܦܝܢܬܐ	Skip
ܩܠܐ (ܨܘܬܐ)	Lyd
ܙܓܘܓܝܬܐ	Glass (materiale)
ܫܛܝܚܘܬܐ	Areal
ܡܢܝܢܐ	Tall
ܪܦܦܐ	Sekund
ܣܥܪܬܐ	Bygg (korn)
ܘܘܗܐܢ	Wuhan
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Liste over stater
ܒܝܬ ܢܗܪܝܢ	Mesopotamia
ܕܒܐ	Bjørnefamilien
ܬܠܗܝܐ	Kreft
ܡܠܟܐ	Konge
ܚܛܬܐ	Hveteslekten
ܣܘܪܓܕܐ	Kalender
ܟܘܪܗܢܐ	Sykdom
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	Gregoriansk kalender
ܟܦܣܐ	Menstruasjon
ܥܡܐ ܩܪܕܘܝܐ	Kurdere
ܓܫܪܐ	Bro
ܡܓܕܠܐ (ܒܢܝܢܐ)	Tårn
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	Latin-Amerika
ܟܗܪܒܐ	Elektrisitet
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	Forbrenningsmotor
ܣܝܦܐ (ܙܝܢܐ)	Sverd
ܫܡܥܘܢ ܩܢܢܝܐ	Apostelen Simon seloten
ܩܪܩܦܬܐ	Skalle
ܓܘܡܠܐ!	Joomla!
ܐܦܫܬܐ	Rosin
ܠܫܢܐ ܕܗܣܝܐܢܓ	Xiang
ܠܫܢܐ ܥܪܒܝܐ	Arabisk
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	Afrikaans
Β	Beta
Γ	Gamma
Δ	Delta (bokstav)
Ε	Epsilon
