Aphrika	Afrika
São Paulo suyu	São Paulo (delstat)
Quebec pruwinsya	Québec
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alimanya	Tyskland
Bilarus	Hviterussland
Aliman simi	Tysk
Islandya	Island
Apuyaya	Gud
Istunya	Estland
David Cameron	David Cameron
Hawcha	Saturn
Chukulati	Sjokolade
Antanka	Fly
Maqanakuy	Krig
Huk	1 (tall)
Iskay	2 (tall)
Kimsa	3 (tall)
Tawa	4 (tall)
Pichqa	5 (tall)
Ch'usaq yupay	Null
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Wask'a	Rektangel
Chiqan chhuka	Rettvinklet
Litunya	Latvia
Ukranya	Ukraina
Chiksuyu	Tsjekkia
Isluwakya	Slovakia
Isluwinya	Slovenia
Vilnius	Vilnius
Mulduwa	Moldova
Rumanya	Romania
Bulgarya	Bulgaria
Roma	Roma
Makidunya	Republikken Makedonia
Albanya	Albania
Kalalit Suyu	Grønland
Hurwatsuyu	Kroatia
Busna-Hirsiquwina	Bosnia-Hercegovina
Asarsuyu	Aserbajdsjan
Andurra	Andorra
Kipru	Republikken Kypros
Kartulsuyu	Georgia
Qasaqsuyu	Kasakhstan
Malta	Malta
Munaku	Monaco
Yanaurqu	Montenegro
Watikanu llaqta	Vatikanstaten
San Marino	San Marino
Kuwa	Cuba
Bilisi	Belize
Yatana llumpa	Tastatur
Indunisya	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Tyrkisk
Urin Aphrika	Sør-Afrika
Alhirya	Algerie
Usbiksuyu	Usbekistan
Poznań	Poznań
Warszawa	Warszawa
Modena	Modena
Winu	Vin
Yaku	Vann
Qiru	Treverk
Ñawikaruy	Fjernsyn
Islandya simi	Islandsk
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chili	Chile
El Greco	El Greco
Jesus	Jesus Kristus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Qatuylla	Merkur
Wiñay kawsay	Historie
Ch'aska	Venus
Rimay	Språk
Khuyay	Kjærlighet
Llaqta saruy	Diktatur
Ñuñu warani	Galakse
Pirwa	Jupiter
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Melkeveien
Hatun t'uqyay	Big Bang
Uranu (puriq quyllur)	Uranus
Bretagne	Bretagne (historisk region)
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Neptun (planet)
Quyllur yachay	Astronomi
Singapur	Singapore
Hamut'ay	Vitenskap
Plutun (tuna puriq quyllur)	Pluto
Montreal	Montréal
Qhipa pacha	Fremtid
Qullana Mariya	Jomfru Maria
Liechtenstein	Liechtenstein
Kurku kallpanchay	Sport
Cambridge	Cambridge
Yellowstone mamallaqta parki	Yellowstone nasjonalpark
Adolf Hitler	Adolf Hitler
Huk ñiqin pachantin maqanakuy	Første verdenskrig
Iskay ñiqin pachantin maqanakuy	Andre verdenskrig
Köln	Köln
Pacha tupuq	Klokke (ur)
Skopje	Skopje
Gdynia	Gdynia
Szczecin	Szczecin
Yupay yachay	Matematikk
U2	U2
Latin simi	Latin
Bahrayn	Bahrain
Arminya	Armenia
Sirbya	Serbia
Killa	Månen
Istanbul	Istanbul
Awstralya	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Fysikk
Arhintina	Argentina
Piruw	Peru
Kawsay yachay	Biologi
Chusun Runakapaq Runallaqta Republika	Nord-Korea
Kambuya	Kambodsja
Quran	Koranen
Dinusawru	Dinosaurer
Suwuluhiya	Zoologi
Islam	Islam
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Butanika	Botanikk
Lech Wałęsa	Lech Wałęsa
Qalla	Hjul
Thak	Fred
Lyon	Lyon
Iwrupa Huñu	Den europeiske union
Rhône-Alpes	Rhône-Alpes
Warmi	Kvinne
Sofiya	Sofia
Witkhu	Akvedukt
Ñ	Ñ
Don Quijote	Don Quijote
Harawi	Poesi
Antañiqiq añaw	Datavirus
Asikuy	Smil
Milano	Milano
Yuyay	Hukommelse
Torino	Torino
Aka	Avføring
Sip'uti	Anus
Puquy k'allku	Sitron
Émile Zola	Émile Zola
666	666
Tuktu	Blomst
Chomolungma	Mount Everest
Kurkumanta yachay	Anatomi
Hatun llaqta	By
Napoléon Bonaparte	Napoléon Bonaparte
Quyllur	Stjerne
Inti	Solen
Louis Pasteur	Louis Pasteur
Achkiy wata	Lysår
Uchuy llaqta	Landsby
Victor Hugo	Victor Hugo
Usiyanya	Oseania
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Friidrett
Inti Llika	Solsystemet
Baltiku hatun qucha	Østersjøen
Trieste	Trieste
Kiru	Tann
Yakuchaq	Hydrogen
Ilyu	Helium
Ukhu pacha	Helvete
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lityu	Litium
Berilyu	Beryllium
Ruqyaq	Høyttaler
Liwru	Bok
P'unchaw	Dag
Anti Timur	Øst-Timor
Tuta	Natt
Wata	År
Pachakwata	Århundre
Łódź	Łódź
Rhein	Rhinen
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	Allehelgensdag
Katowice	Katowice
Luís de Camões	Luís de Camões
Siris (tuna puriq quyllur)	Ceres (dvergplanet)
Lisboa	Lisboa
Rzeszów	Rzeszów
Haumea (puriq quyllur)	Haumea
Makemake (tuna puriq quyllur)	Makemake
Eris (tuna puriq quyllur)	Eris (dvergplanet)
Lionel Messi	Lionel Messi
Padova	Padova
Boru	Bor (grunnstoff)
Nicolaus Copernicus	Nikolaus Kopernikus
K'illimsayaq	Karbon
Alessandro Del Piero	Alessandro Del Piero
Qullpachaq	Nitrogen
Bergamo	Bergamo
Muksichaq	Oksygen
Inter Milano	Inter
Pachahina	Planet
Kleopatra VII	Kleopatra VII av Egypt
Taki kapchiy	Musikk
Venezia	Venezia
Rennes	Rennes
Lille	Lille
Moskwa	Moskva
Flur	Fluor
Italya simi	Italiensk
Niyun	Neon
Chihuahua suyu	Chihuahua (delstat)
Sankt Peterburg	St. Petersburg
Chad	Tsjad
Natriyu	Natrium
Chincha	Nord
Qunta q'illay	Magnesium
Ch'aqu q'illay	Aluminium
Musuq Silanda	New Zealand
Urin	Sør
Indya	India
Ullayayaq	Silisium
Fransyu	Francium
Tuwalu	Tuvalu
Phusphuru	Fosfor
Khillay	Jern
Tunqa	Tonga
Kunti	Vest
Alessandro Volta	Alessandro Volta
Salina	Svovel
Samwa	Samoa
Anti	Øst
Salumun wat'akuna	Salomonøyene
Wanwatu	Vanuatu
Molière	Molière
Kluru	Klor
Delft	Delft
Papwa Ñukini	Papua Ny-Guinea
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	Zuid-Holland
Palaw	Palau
Argun	Argon
Nawru	Nauru
Noord-Holland pruwinsya	Noord-Holland
Mikrunisya (mama llaqta)	Mikronesiaføderasjonen
Kalyu	Kalium
Zeeland pruwinsya	Zeeland
Isku q'illay	Kalsium
Flevoland pruwinsya	Flevoland
Titi	Bly
Marshall Wat'akuna	Marshalløyene
Kiribati	Kiribati
Mungul suyu	Mongolia
Phiyi	Fiji
Iskandyu	Scandium
Titanyu	Titan (grunnstoff)
Winisuyla	Venezuela
Qhapaq chunkana	Sjakk
Wanadyu	Vanadium
Maine suyu	Maine
Krumu	Krom
Kawallu	Hest
Amsterdam	Amsterdam
Ayñi	Våpen
Uywa	Dyr
Surinam	Surinam
Manganisu	Mangan
Parawayi	Paraguay
Wayana	Guyana
Kapchiy	Kunst
Ikwadur	Ecuador
Renyu	Rhenium
Kulumbya	Colombia
Kubaltu	Kobolt
Wolframyu	Wolfram
Nikil	Nikkel
Muntipuquy	Jordbærslekta
Budismu	Buddhisme
Groningen	Groningen (by)
Puliwya	Bolivia
Osmiyu	Osmium
Groningen pruwinsya	Groningen (provins)
Anta	Kobber
Trinidad Tubaguwan	Trinidad og Tobago
Yura	Planter
Tsinku	Sink
New Hampshire suyu	New Hampshire
Santa Lusiya wat'a	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
San Kits Niwiswan	Saint Kitts og Nevis
K'allampa	Sopper
Shamayka	Jamaica
Grinada	Grenada
Friesland pruwinsya	Friesland (Nederland)
Massachusetts suyu	Massachusetts
Drenthe pruwinsya	Drenthe
Overijssel pruwinsya	Overijssel
Watimala	Guatemala
Gelderland	Gelderland
Utrecht pruwinsya	Utrecht (provins)
Bahamakuna	Bahamas
Connecticut suyu	Connecticut
Wallpa	Tamhøns
Hawaii suyu	Hawaii
Unduras	Honduras
Duminika	Dominica
Duminikana	Den dominikanske republikk
Khuchi	Gris
Artiku mama qucha	Nordishavet
Ayti (mama llaqta)	Haiti
Salwadur	El Salvador
Zwolle	Zwolle
Iran	Iran
Iraq	Irak
Alaska suyu	Alaska
Assen	Assen
Kustarika	Costa Rica
Israyil	Israel
Nowy Sącz	Nowy Sącz
Utrecht	Utrecht (by)
Panama	Panama
Yaman	Jemen
Lausanne	Lausanne
Añaw	Virus
Pulaku simi	Polsk
Hurdanya	Jordan
Nikarawa	Nicaragua
Florida suyu	Florida
Kirkisuyu	Kirgisistan
Arizona suyu	Arizona
Kuwait	Kuwait
Florida pruwinsya	Provinsen Florida
Law suyu	Laos
Qincha pruwinsya (Beni)	Provinsen Cercado (Beni)
Libanu	Libanon
Iténez pruwinsya	Provinsen Iténez
Oregon suyu	Oregon
Maldiwakuna	Maldivene
José Ballivián pruwinsya	Provinsen José Ballivián
Awya Yala (Mulanpi)	Amerika
Utah suyu	Utah
Waaka	Storfe
Mamuriy pruwinsya	Provinsen Mamoré
Malasya	Malaysia
Myanmar	Myanmar
Nipal	Nepal
Marbán pruwinsya	Provinsen Marbán
Uman	Oman
Pakistan	Pakistan
Qatar	Qatar
Sawud Arabya	Saudi-Arabia
Sri Lanka	Sri Lanka
Yosif Stalin	Josef Stalin
Sirya	Syria
Platon	Platon
Galyu	Gallium
Tayiksuyu	Tadsjikistan
Chunwa Republika	Republikken Kina
Germanyu	Germanium
Aristotelis	Aristoteles
Thaysuyu	Thailand
Antakuru	Jernbanetog
Arsiniku	Arsen
Ankichiy	Radio
Turkminsuyu	Turkmenistan
Silinyu	Selen
Iridyu	Iridium
Hukllachasqa Arab Imiratukuna	De forente arabiske emirater
Bromu	Brom
Qullqiya	Platina
Witnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Nowosibirsk	Novosibirsk
Tayhan Republika	Sør-Korea
Jekaterinburg	Jekaterinburg
Kriptun	Krypton
Afgansuyu	Afghanistan
Nizhniy Novgorod	Nizjnij Novgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Samara	Samara
Rubidyu	Rubidium
Quri	Gull
Omsk	Omsk
Kazan	Kazan
Yachaq	Naturviter
Banladish	Bangladesh
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa (by)
Mali	Mali
Sokratis	Sokrates
Angula	Angola
Butan	Bhutan
Bruniy	Brunei
Tansanya	Tanzania
Yaku qullqi	Kvikksølv
Roald Amundsen	Roald Amundsen
Philipinakuna	Filippinene
Chawpi Aphrika Ripuwlika	Den sentralafrikanske republikk
Thalyu	Thallium
Urin qhipa	Sydpolen
Chinchay qhipa	Nordpolen
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istronsyu	Strontium
Itriyu	Yttrium
Wismutu	Vismut
Q'illu	Gul
Tugu	Togo
Donald Tusk	Donald Tusk
Tunisya	Tunisia
John Bardeen	John Bardeen
Sambya	Zambia
Simbabwi	Zimbabwe
Pikkin	Beijing
Urin Sudan	Sør-Sudan
Binin	Benin
Butswana	Botswana
Burkina Phasu	Burkina Faso
Burundi	Burundi
Kumurakuna	Komorene
Kungu Ripuwlika	Republikken Kongo
Obi mayu	Ob
Kungu Runakamaq Ripuwlika	Den demokratiske republikken Kongo
San Antonio (Texas)	San Antonio
Yiwuti	Djibouti
Polonyu	Polonium
Bayern	Bayern
Chawpipacha Khiniya	Ekvatorial-Guinea
Baden-Württemberg	Baden-Württemberg
Iritriya	Eritrea
Musuq Dilhi	New Delhi
Huwan Pawlu II	Johannes Paul II
Fedor Dostoievski	Fjodor Dostojevskij
Tbilisi	Tbilisi
Pallpa	Spedbarn
Astatu	Astat
Gabun	Gabon
Mohandas Gandhi	Mahatma Gandhi
Siq'isqa rikchasapa willakuy	Tegneserie
Gambya	Gambia
Khiniya	Guinea
Khiniya-Wisaw	Guinea-Bissau
Marphil Chala	Elfenbenskysten
Kamirun	Kamerun
Q'umir Kawu	Kapp Verde
Suthusuyu	Lesotho
Libirya	Liberia
Libya	Libya
Aachen	Aachen
Madagaskar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Muritanya	Mauritania
Mawrisyu	Mauritius
Maruku	Marokko
Musambik	Mosambik
Namiwya	Namibia
Niqir	Niger
Niqirya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Sirkonyu	Zirkonium
Santu Tumiy Prinsipipas	São Tomé og Príncipe
Sinigal	Senegal
Sichillakuna	Seychellene
Carl von Linné	Carl von Linné
Liyun Urqu	Sierra Leone
Sumalya	Somalia
Niyobyu	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Julius Cæsar
Sudan	Sudan
Swasisuyu	Swaziland
K'uychi	Regnbue
Molibdenu	Molybden
Teknesyu	Technetium
Hamburg	Hamburg
Imayay yamkiy	Stoffskifte
Unquy hark'ay	Immunforsvar
Ontario qucha	Ontariosjøen
Rikch'aqyay	Evolusjon
Huñusqa Nasyunkuna	De forente nasjoner
Hananqucha	Lake Superior
Dante Alighieri	Dante Alighieri
Allpa saywachi	Geografi
Sunqu	Hjerte
Ñutqu	Hjerne
Qara	Hud
Llimphi	Farge
Salerno	Salerno
Sutirimana	Substantiv
Praha	Praha
Ruthenyu	Ruthenium
Rodyu	Rhodium
Anqas	Blå
Paladyu	Palladium
Qullqi q'illay	Sølv
Kadmiyu	Kadmium
Limburg (Urasuyu) pruwinsya	Limburg (Nederland)
Indyu	Indium
Chayanta	Tinn (grunnstoff)
Uranyu	Uran
Antimunyu	Antimon
Teluryu	Tellur
Noord-Brabant pruwinsya	Noord-Brabant
Plutonyu	Plutonium
Yudu	Jod
Neptunyu	Neptunium
Senun	Xenon
Anime	Anime
Sesyu	Cesium
Protaktinyu	Protactinium
Pinchikilla chaqna	Elektrisk ladning
Baryu	Barium
Thoryu	Thorium
Hafniyu	Hafnium
Aktinyu	Actinium
Tantalyu	Tantal
Bill Clinton	Bill Clinton
Radyu q'illay	Radium
Radun	Radon
Lorraine	Lorraine
Alsace	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Auvergne
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan suyu	Michigan
Michigan qucha	Michigansjøen
Bourgogne	Bourgogne
Aquitaine	Aquitaine
Burinkin	Puerto Rico
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
John Lennon	John Lennon
Illinois suyu	Illinois
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
North Dakota suyu	Nord-Dakota
Brandenburg	Brandenburg
Bremen suyu	Bremen
Lombardia	Lombardia
South Dakota suyu	Sør-Dakota
Montana suyu	Montana
Wyoming suyu	Wyoming
Piemonte	Piemonte
Yerushalayim	Jerusalem
Idaho suyu	Idaho
Washington suyu	Washington
Rutherfordyu	Rutherfordium
Nevada suyu	Nevada
Dubniyu	Dubnium
Seaborgyu	Seaborgium
Trentino Urin Tirul	Trentino-Syd-Tirol
Indiku mama qucha	Indiahavet
Luigi Einaudi	Luigi Einaudi
Veneto	Veneto
Kusuwu	Kosovo
Bohriyu	Bohrium
Hasyu	Hassium
Kofi Annan	Kofi Annan
Liguria	Liguria
Butros Butros-Ghali	Boutros Boutros-Ghali
Meitneryu	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado suyu	Colorado
Emilia-Romagna	Emilia-Romagna
U Thant	U Thant
Darmstadtiyu	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenyu	Røntgenium
Toscana	Toscana
Kopernisyu	Copernicium
Katiguriya:Qhapaq katiguriya	Kategori:Kategorier
Abruzzo	Abruzzo
Alpikuna	Alpene
Grenoble	Grenoble
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtriyu	Ununtrium
Ununkwadyu	Flerovium
Ununpentyu	Ununpentium
Ununheksiyu	Livermorium
Ununseptiyu	Ununseptium
Ununoktiyu	Ununoctium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Chiri mit'a	Vinter
Ch'iraw mit'a	Vår
Ruphay mit'a	Sommer
Puquy mit'a	Høst
Saddam Hussein	Saddam Hussein
Kastilla simi	Spansk
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Taki aranway	Opera
Philadelphia (Pennsylvania)	Philadelphia
Kolkata	Kolkata
Chennai	Chennai
Dilhi	Delhi
Bangalore	Bangalore
Kunti Banla	Vest-Bengal
Awaq uru	Edderkopper
Pakcha	Edderkoppdyr
Sillwichaki	Leddyr
Ruru	Frukt
K'usillu	Apekatter
Rantina qullqi	Penger
Virginia suyu	Virginia
West Virginia suyu	Vest-Virginia
Wata uchu	Paprika
Huron qucha	Huronsjøen
New York suyu	New York (delstat)
Seryu	Cerium
Praseodimyu	Praseodym
Rhode Island suyu	Rhode Island
Neodimyu	Neodym
Palama	Insekter
Maryland suyu	Maryland
Delaware suyu	Delaware
Lenin	Vladimir Lenin
Iwrupyu	Europium
Ohio suyu	Ohio
Pennsylvania suyu	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Augustus	Augustus
Windows	Microsoft Windows
New Jersey suyu	New Jersey
Phinis simi	Finsk
Indiana suyu	Indiana
Antawa	Bil
Juventus FC	Juventus
Roger Federer	Roger Federer
Georgia suyu	Georgia (USA)
Zagreb	Zagreb
Texas suyu	Texas
Tamil Nadu	Tamil Nadu
Genova	Genova
North Carolina suyu	Nord-Carolina
South Carolina suyu	Sør-Carolina
Sicilia	Sicilia
Manila	Manila
Sardegna	Sardinia
Bordeaux	Bordeaux
Corazón Aquino	Corazón Aquino
Buenos Aires	Buenos Aires
Mishiku llaqta	Mexico by
Tokyo	Tokyo
Chuqiyapu	La Paz
Barcelona	Barcelona
Mississippi suyu	Mississippi
Fernão de Magalhães	Ferdinand Magellan
Mississippi mayu	Mississippi (elv)
Mizoram	Mizoram
Pataqunya	Patagonia
Tennessee suyu	Tennessee
Richard Wagner	Richard Wagner
Astana	Astana
Musuq Mishiku suyu	New Mexico
Athina	Athen
Minnesota suyu	Minnesota
Bagdad	Bagdad
Karakas	Caracas
Wisconsin suyu	Wisconsin
Marcus Tullius Cicero	Marcus Tullius Cicero
AC Milan	AC Milan
Iowa suyu	Iowa
Nebraska suyu	Nebraska
Watimala llaqta	Guatemala by
Kansas suyu	Kansas
La Habana	Havanna
Hindi simi	Hindi
Marathi simi	Marathi
Siyaru	Sigarett
Missouri suyu	Missouri
Louisiana suyu	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky suyu	Kentucky
Arkansas suyu	Arkansas
Neil Armstrong	Neil Armstrong
Urdu simi	Urdu
Oklahoma suyu	Oklahoma
Danuwyu mayu	Donau
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	München
Makiyasiy	Volleyball
Innsbruck	Innsbruck
Wien	Wien
København	København
Stockholm	Stockholm
Helsinki	Helsingfors
Baile Átha Cliath	Dublin
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt am Main	Frankfurt am Main
Wrocław	Wrocław
Lanthanu	Lantan
Prometyu	Promethium
Samaryu	Samarium
Kaliningrad	Kaliningrad
Gadolinyu	Gadolinium
Zinedine Zidane	Zinedine Zidane
Terbyu	Terbium
Laurent Blanc	Laurent Blanc
Luksimbur (llaqta)	Luxembourg (by)
Disprosyu	Dysprosium
Vaduz	Vaduz
Dyuspa Simin Qillqa	Bibelen
Holmyu	Holmium
San Marino (uma llaqta)	San Marino by
Erbyu	Erbium
Phnom Penh	Phnom Penh
Thulyu	Thulium
Ho Chi Minh llaqta	Ho Chi Minh-byen
Iterbyu	Ytterbium
Lutesyu	Lutetium
Ha Nui	Hanoi
Inlish simi	Engelsk
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
T'aypik	Taipei
Amerisyu	Americium
Kuriyu	Curium
Dong Hoi	Dong Hoi
Concepción (Chile)	Concepción
Berkelyu	Berkelium
Kalifornyu	Californium
Bologna	Bologna
Einsteinyu	Einsteinium
Fermyu	Fermium
Cagliari	Cagliari
Mendelewyu	Mendelevium
Kiyiw	Kiev
Nobelyu	Nobelium
Catania	Catania
Ontario pruwinsya	Ontario
Lawrensyu	Lawrencium
Mathieu Debuchy	Mathieu Debuchy
Karim Benzema	Karim Benzema
Franck Ribéry	Franck Ribéry
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Jérémy Toulalan	Jérémy Toulalan
Manitoba pruwinsya	Manitoba
Alberta pruwinsya	Alberta
Nova Scotia pruwinsya	Nova Scotia
Yerevan	Jerevan
Końskowola	Końskowola
Dar es Salaam	Dar-es-Salaam
New Brunswick pruwinsya	New Brunswick
British Columbia pruwinsya	Britisk Columbia
Prince Edward Island pruwinsya	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan pruwinsya	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Chimlasay	Karbondioksid
2013	2013
2014	2014
2015	2015
Newfoundland wan Labrador pruwinsya	Newfoundland og Labrador
2008	2008
2004	2004
2005	2005
2006	2006
Cesare Pavese	Cesare Pavese
2007	2007
Verona	Verona
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Firenze
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
Juan Manuel Fangio	Juan Manuel Fangio
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Saint John (Newfoundland wan Labrador)	St. John's (Newfoundland og Labrador)
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Mikhuna	Mat
Edmonton	Edmonton
Mach'aqway	Slanger
Jacques Chirac	Jacques Chirac
Arika Parinaqutapas suyu	Arica y Parinacota
Tarapaka suyu	Tarapacá
Antofagasta suyu	Antofagasta (region)
Atakama suyu	Atacama (region)
Kukimpu suyu	Coquimbo
Regina (Saskatchewan)	Regina (Saskatchewan)
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
Charlottetown	Charlottetown
Santiago suyu	Región Metropolitana de Santiago
Victoria (British Columbia)	Victoria (Britisk Columbia)
O'Higgins suyu	O'Higgins
Winnipeg	Winnipeg
Fredericton	Fredericton
Halifax (Nova Scotia)	Halifax (Nova Scotia)
Quebec llaqta	Québec (by)
1 ñiqin qhulla puquy killapi	1. januar
2 ñiqin qhulla puquy killapi	2. januar
1920	1920
3 ñiqin qhulla puquy killapi	3. januar
1919	1919
1921	1921
1922	1922
Mawlli suyu	Maule
4 ñiqin qhulla puquy killapi	4. januar
1923	1923
Biyubiyu suyu	Biobío
1924	1924
Arawkaniya suyu	Araucanía
Mayukuna suyu	Los Ríos (region)
Quchakuna suyu	Los Lagos
Aisén suyu	Aisén
Georges Pompidou	Georges Pompidou
Magallanes Antartika suyu	Magallanes y de la Antártica Chilena
Sit'i pachahina	Dvergplanet
5 ñiqin qhulla puquy killapi	5. januar
Arika	Arica
6 ñiqin qhulla puquy killapi	6. januar
Iliktrun	Elektron
7 ñiqin qhulla puquy killapi	7. januar
8 ñiqin qhulla puquy killapi	8. januar
Velikiy Novgorod	Novgorod
9 ñiqin qhulla puquy killapi	9. januar
10 ñiqin qhulla puquy killapi	10. januar
11 ñiqin qhulla puquy killapi	11. januar
12 ñiqin qhulla puquy killapi	12. januar
