Africa	Afrika
Mtsinje wa Shire	Shire (elv)
Category:Stubs	Kategori:Stubber
Category:Categories	Kategori:Kategoriinnhold
Category:Wikipedia bots	Kategori:Boter
Wikipedia:Administrators	Wikipedia:Administratorer
Template:Bot	Mal:Bot
Template:Documentation	Mal:Dokumentasjon
Category:Wikipedians by language	Kategori:Wikipedia-brukere etter språk
Template:Softredirect	Mal:Softredirect
Template:Delete	Mal:Hurtigsletting
Category:Chilankhulo	Kategori:Språk
Category:Wikipedia	Kategori:Wikipedia
Wikipedia:Statistics	Wikipedia:Statistikk
Template:-	Mal:-
Template:Col-break	Mal:Col-break
Template:Col-begin	Mal:Col-begin
Template:Col-end	Mal:Col-end
Wikipedia:Vital articles	Wikipedia:Liste over artikler vi bør ha
Category:Africa	Kategori:Afrika
Category:Baibulo	Kategori:Bibelen
Category:Miyezi	Kategori:Måneder
Template:Babel	Mal:Babel
Template:Commons	Mal:Commons
Template:Stub	Mal:Stubb
Template:See also	Mal:Se også
Template:User da	Mal:Bruker da
Template:User be-2	Mal:Bruker be-2
Template:User da-1	Mal:Bruker da-1
Template:User cs-1	Mal:Bruker cs-1
Template:User eo-3	Mal:Bruker eo-3
Template:User de	Mal:Bruker de
Template:User de-1	Mal:Bruker de-1
Template:User de-3	Mal:Bruker de-3
Template:User en-3	Mal:Bruker en-3
Template:User en-1	Mal:Bruker en-1
Template:User en-2	Mal:Bruker en-2
Template:User en-0	Mal:Bruker en-0
Template:User en	Mal:Bruker en
Template:User es-1	Mal:Bruker es-1
Template:User fr-1	Mal:Bruker fr-1
Template:User it-3	Mal:Bruker it-3
Template:User sk	Mal:Bruker sk
Template:User tr	Mal:Bruker tr
Template:User ja-1	Mal:Bruker ja-1
Template:User it-1	Mal:Bruker it-1
Template:User hr-1	Mal:Bruker hr-1
Category:MaBoma a South Africa	Kategori:Sør-Afrikas provinser
Category:User uk	Kategori:Bruker uk
Category:User uk-N	Kategori:Bruker uk-N
Template:Mod	Mal:Mod
Template:User uk	Mal:Bruker uk
Template:User es-2	Mal:Bruker es-2
Template:Welcome	Mal:Reg-velkommen
Category:User fr-1	Kategori:Bruker fr-1
Template:Collapsible list	Mal:Sammenleggbar liste
Template:Location map	Mal:Kartposisjon
Category:User en	Kategori:Bruker en
Category:User en-2	Kategori:Bruker en-2
Template:Infobox	Mal:Infoboks
Template:User ru-4	Mal:Bruker ru-4
Template:User nl-2	Mal:Bruker nl-2
Template:User ru	Mal:Bruker ru
Template:Both	Mal:Both
Template:User pl-1	Mal:Bruker pt-1
Template:User no-2	Mal:Bruker no-2
Template:Geobox coor	Mal:Geobox coor
Template:Purge	Mal:Oppdater
Template:Coord	Mal:Koord
Category:User be	Kategori:Bruker be
Category:User hr	Kategori:Bruker hr
Category:User sk	Kategori:Bruker sk
Category:User sl	Kategori:Bruker sl
Category:User eo	Kategori:Bruker eo
Category:User fr	Kategori:Bruker fr
Category:User ja	Kategori:Bruker ja
Category:User mk	Kategori:Bruker mk
Category:User pt	Kategori:Bruker pt
Category:User sv	Kategori:Bruker sv
Category:User sw	Kategori:Bruker sw
Category:User it-3	Kategori:Bruker it-3
Category:User cs-1	Kategori:Bruker cs-1
Category:User da-1	Kategori:Bruker da-1
Category:User sl-1	Kategori:Bruker sl-1
Category:User mk-1	Kategori:Bruker mk-1
Category:User sw-1	Kategori:Bruker sw-1
Category:User be-2	Kategori:Bruker be-2
Category:User nl-2	Kategori:Bruker nl-2
Category:User ru-N	Kategori:Bruker ru-N
Category:User bg	Kategori:Bruker bg
Category:User bg-1	Kategori:Bruker bg-1
Category:User cs	Kategori:Bruker cs
Category:User da	Kategori:Bruker da
Category:User sk-N	Kategori:Bruker sk-N
Category:User de	Kategori:Bruker de
Category:User en-0	Kategori:Bruker en-0
Category:User en-3	Kategori:Bruker en-3
Category:User en-N	Kategori:Bruker en-N
Category:User eo-3	Kategori:Bruker eo-3
Category:User es	Kategori:Bruker es
Category:User es-1	Kategori:Bruker es-1
Category:User es-2	Kategori:Bruker es-2
Category:User hr-1	Kategori:Bruker hr-1
Category:User it	Kategori:Bruker it
Category:User it-1	Kategori:Bruker it-1
Category:User ja-1	Kategori:Bruker ja-1
Template:User sv-1	Mal:Bruker sv-1
Template:User sw-1	Mal:Bruker sw-1
Category:Maiko a ku Africa	Kategori:Land i Afrika
Category:User pt-N	Kategori:Bruker pt-N
Category:User ru	Kategori:Bruker ru
Category:User ru-4	Kategori:Bruker ru-4
Category:User sv-1	Kategori:Bruker sv-1
Category:User tr	Kategori:Bruker tr
Category:User tr-N	Kategori:Bruker tr-N
Category:User uk-4	Kategori:Bruker uk-4
Category:Malaŵi	Kategori:Malawi
Category:Mozambique	Kategori:Mosambik
Template:User mk-1	Mal:Bruker mk-1
Template:User no-1	Mal:Bruker no-1
Template:User pt	Mal:Bruker pt
Template:User uk-4	Mal:Bruker uk-4
Category:Zambia	Kategori:Zambia
Category:User nl	Kategori:Bruker nl
Category:User no-1	Kategori:Bruker no-1
Category:User no-2	Kategori:Bruker no-2
Category:User no	Kategori:Bruker no
Category:ZiPani za ndale	Kategori:Politiske partier
Template:User sl-1	Mal:Bruker sl-1
Trojany	Trojany
Category:User en-1	Kategori:Bruker en-1
Category:User de-1	Kategori:Bruker de-1
Category:User da-N	Kategori:Bruker da-N
Mtsinje wa Songwe	Songwe (elv)
Special:RecentChanges	Spesial:Siste endringer
Module:HtmlBuilder	Modul:HtmlBuilder
Module:Coordinates	Modul:Coordinates
