Աֆրիկա	Afrika
Աբրահամ Լինքոլն	Abraham Lincoln
Անդրոիդ	Android
Մեքսիկա	Mexico
Ատլանտյան օվկիանոս	Atlanterhavet
Խաղաղ օվկիանոս	Stillehavet
Կալիֆորնիա	California
Բոստոն	Boston
Երկուշաբթի	Mandag
Տարածություն	Rom (fysikk)
Հունվար	Januar
Փետրվար	Februar
Մարտ	Mars (måned)
Մարս (մոլորակ)	Mars (planet)
Քենիա	Kenya
Եթովպիա	Etiopia
Գանա	Ghana
Ապրիլ	April
Մայիս	Mai
Հունիս	Juni
Հուլիս	Juli
Օգոստոս	August
Սեպտեմբեր	September
Հոկտեմբեր	Oktober
Նոյեմբեր	November
Դեկտեմբեր	Desember
Երեքշաբթի	Tirsdag
Չորեքշաբթի	Onsdag
Հինգշաբթի	Torsdag
Ուրբաթ	Fredag
Շաբաթ (օր)	Lørdag
Կիրակի	Søndag
Փիղ (շախմատ)	Løper (sjakk)
Զինվոր (շախմատ)	Bonde (sjakk)
Ձի (շախմատ)	Springer (sjakk)
Նավակ (շախմատ)	Tårn (sjakk)
Արքա (շախմատ)	Konge (sjakk)
Թագուհի (շախմատ)	Dronning (sjakk)
Առյուծ	Løve
Ֆրանսիա	Frankrike
Էսպերանտո	Esperanto
Շուն	Tamhund
Միացյալ Թագավորություն	Storbritannia
Կատուներ	Tamkatt
Չինաստանի Ժողովրդական Հանրապետություն	Folkerepublikken Kina
Ֆրանսերեն	Fransk
Վիքիբառարան	Wiktionary
Ձկներ	Fisk
Էթիլ սպիրտ	Etanol
Բրազիլիա	Brasil
Սպիրտ	Alkoholer
Ֆրանսուա Օլանդ	François Hollande
Ռուսաստան	Russland
Կետանմաններ	Hvaler
Մանրաթելեր	Fiber
Օպտիկամանրաթելային մալուխ	Fiberoptikk
Քառակուսի	Kvadrat
Ծով	Hav
Սև ծով	Svartehavet
Պի թիվ	Pi
Պի (տառ)	Pi (bokstav)
Վիքի	Wiki
Տորոնտո	Toronto
Ալաբամա (նահանգ)	Alabama
Սան Պաուլո	São Paulo
Սան Պաուլու (նահանգ)	São Paulo (delstat)
Քվեբեկ	Québec
Պիցցա	Pizza
Մակարոնեղեն	Pasta
Բոինգ 747	Boeing 747
Վիքիմեդիա Հիմնադրամ	Wikimedia Foundation
Ջիմմի Ուելս	Jimmy Wales
Գերմանիա	Tyskland
Բելառուս	Hviterussland
Լարի Սանգեր	Larry Sanger
Իտալիայի օրհներգ	Fratelli d'Italia
Գերմաներեն	Tysk
Իսլանդիա	Island
Աստված	Gud
Էստոնիա	Estland
Դևիդ Քեմերոն	David Cameron
Սատուրն (մոլորակ)	Saturn
Սատուրնի օղակներ	Saturns ringer
Շոկոլադ	Sjokolade
Ինքնաթիռ	Fly
Պատերազմ	Krig
1 (թիվ)	1 (tall)
2 (թիվ)	2 (tall)
3 (թիվ)	3 (tall)
Չորս	4 (tall)
Հինգ	5 (tall)
Անսահմանություն	Uendelig
Ջորջ Ու. Բուշ	George W. Bush
Ուղղանկյուն	Rektangel
Ուղիղ անկյուն	Rettvinklet
Լատվիա	Latvia
Ուկրաինա	Ukraina
Չեխիա	Tsjekkia
Սլովակիա	Slovakia
Սլովենիա	Slovenia
Վիլնյուս	Vilnius
Մոլդովա	Moldova
Ռումինիա	Romania
Բուլղարիա	Bulgaria
Հռոմ	Roma
Մակեդոնիա	Republikken Makedonia
Ալբանիա	Albania
Գրենլանդիա	Grønland
Խորվաթիա	Kroatia
Բոսնիա և Հերցեգովինա	Bosnia-Hercegovina
Նուուկ	Nuuk
Ադրբեջանական Հանրապետություն	Aserbajdsjan
Անդորրա	Andorra
Կիպրոս	Republikken Kypros
Վրաստան	Georgia
Վալոնիա	Vallonia
Ղազախստան	Kasakhstan
Մալթա	Malta
Ֆլանդրիա (պատմական մարզ)	Flandern
Մոնակո	Monaco
Չեռնոգորիա	Montenegro
Վատիկան	Vatikanstaten
Սան Մարինո	San Marino
Բրյուսելի մայրաքաղաքային տարածաշրջան	Brussel
Կուբա	Cuba
Բելիզ	Belize
Էյֆելյան աշտարակ	Eiffeltårnet
Բարբադոս	Barbados
Volkswagen	Volkswagen
Ինտել	Intel
Ջավա (ծրագրավորման լեզու)	Java (programmeringsspråk)
Ինդոնեզիա	Indonesia
Վոլֆգանգ Ամադեուս Մոցարտ	Wolfgang Amadeus Mozart
Լյուդվիգ վան Բեթհովեն	Ludwig van Beethoven
Թուրքերեն	Tyrkisk
Հարավաֆրիկյան Հանրապետություն	Sør-Afrika
Ժան Ֆրանսուա Շամպոլյոն	Jean-François Champollion
Linkin Park	Linkin Park
Ալժիր	Algerie
Վիքիդարան	Wikikilden
Ուզբեկստան	Usbekistan
Տաշքենդ	Tasjkent
Վարշավա	Warszawa
Եվրատեսիլ երգի մրցույթ	Eurovision Song Contest
Վիսկի	Whisky
Գինի	Vin
Ջուր	Vann
Կոնյակ	Konjakk
Կոնյակ (քաղաք)	Cognac (Charente)
Կաշի	Lær
Փայտ	Treverk
Հեռուստատեսային կենտրոն	Fjernsyn
Սեռ (կենսաբանություն)	Kjønn
Պոռնոգրաֆիա	Pornografi
Իսլանդերեն	Islandsk
Կլոդ Մոնե	Claude Monet
Դիեգո Վելասկես	Diego Velázquez
Չիլի	Chile
Էլ Գրեկո	El Greco
Հիսուս	Jesus Kristus
Էլվիս Փրեսլի	Elvis Presley
Գալիլեո Գալիլեյ	Galileo Galilei
Մերկուրի (մոլորակ)	Merkur
Պատմություն	Historie
Պեր Լաշեզ	Père Lachaise
Էփլ	Apple
Վեներա (մոլորակ)	Venus
Լեզու	Språk
Սեր	Kjærlighet
Գալակտիկաներ	Galakse
Յուպիտեր (մոլորակ)	Jupiter
Ծիր Կաթին	Melkeveien
Մեծ Պայթյուն	Big Bang
Ուրան (մոլորակ)	Uranus
Բրետան	Bretagne (historisk region)
Անգլերեն Վիքիպեդիա	Wikipedia på engelsk
Նիկոլա Սարկոզի	Nicolas Sarkozy
Նեպտուն	Neptun (planet)
Աստղագիտություն	Astronomi
Սինգապուր	Singapore
Գիտություն	Vitenskap
Տիեզերագիտություն	Kosmologi
Պլուտոն	Pluto
Մոնրեալ	Montréal
Ազատ ծրագրային ապահովում	Fri programvare
Մարիամ Աստվածածին	Jomfru Maria
Լուի Սուրբ	Ludvig IX av Frankrike
Լիխտենշտայն	Liechtenstein
Սպորտ	Sport
Քեմբրիջ	Cambridge
Ելոուսթոուն (ազգային այգի)	Yellowstone nasjonalpark
Ադոլֆ Հիտլեր	Adolf Hitler
Ֆեյսբուք	Facebook
Google+	Google+
ՎիքիԼիքս	WikiLeaks
Ջուլիան Ասանժ	Julian Assange
Առաջին համաշխարհային պատերազմ	Første verdenskrig
Երկրորդ համաշխարհային պատերազմ	Andre verdenskrig
Քյոլն	Köln
Կաշառակերություն	Korrupsjon
Վիքիգրքեր	Wikibøker
Վիքիքաղվածք	Wikiquote
Վիքիլսարան	Wikiversity
Օղի	Vodka
Վաֆլի	Vafler
Յանկա Կուպալա	Janka Kupala
Ուբունտու	Ubuntu (operativsystem)
Սկոպյե	Skopje
Գդինյա	Gdynia
Բոբ Դիլան	Bob Dylan
Չափագիտություն	Metrologi
Մաթեմատիկա	Matematikk
Լատիներեն	Latin
Բահրեյն	Bahrain
Հայաստան	Armenia
Սեպագիր	Kileskrift
Հիգսի բոզոն	Higgs-boson
Սերբիա	Serbia
Լուսին	Månen
Ստամբուլ	Istanbul
Ավստրալիա	Australia
Բոբ Մառլի	Bob Marley
Կարլ Սագան	Carl Sagan
Աստղակենսաբանություն	Astrobiologi
Ֆիզիկա	Fysikk
Արգենտինա	Argentina
Կապի համակարգ	Telekommunikasjon
Պերու	Peru
Կենսաբանություն	Biologi
Չբացահայտված թռչող օբյեկտ	Uidentifisert flygende objekt
Կորեայի Ժողովրդա-Դեմոկրատական Հանրապետություն	Nord-Korea
Կամբոջա	Kambodsja
Կոյպերի գոտի	Kuiperbeltet
Ղուրան	Koranen
Դինոզավրեր	Dinosaurer
Կենդանաբանություն	Zoologi
Իսլամ	Islam
Ալեքսանդրիայի գրադարան	Biblioteket i Alexandria
Լյուբլյանա	Ljubljana
Բուսաբանություն	Botanikk
Անիվ	Hjul
Դենի Դիդրո	Denis Diderot
Ռահու (գյուղ, Վալյալա շրջան)	Fred
Բրիտանիկա հանրագիտարան	Encyclopædia Britannica
Լիոն	Lyon
Եվրոպական Միություն	Den europeiske union
Պլովդիվ	Plovdiv
Աստղային պատերազմներ	Star Wars
Ռոն-Ալպ	Rhône-Alpes
Համաշխարհային սարդոստայն	World Wide Web
Կին	Kvinne
Սոֆիա	Sofia
Ջրանցույց	Akvedukt
Դոն Քիշոտ (վեպ)	Don Quijote
.xxx	.xxx
Չափածո	Poesi
Համակարգչային վիրուս	Datavirus
Չեռնոբիլի ատոմակայանի վթար	Tsjernobyl-ulykken
Հիրոսիմայի և Նագասակիի ատոմային ռմբակոծումներ	Atombombene over Hiroshima og Nagasaki
Միլան	Milano
Ընկերություն	Vennskap
Հիշողություն	Hukommelse
Արթյուր Ռեմբո	Arthur Rimbaud
Թուրին	Torino
Կիտրոն	Sitron
Շառլ Բոդլեր	Charles Baudelaire
Ստենդալ	Stendhal
Բանան	Bananer
Էմիլ Զոլա	Émile Zola
666	666
Ծաղիկ	Blomst
Գուգոլ	Googol
Մարիանյան իջվածք	Marianergropen
Վլադիմիր Վիսոցկի	Vladimir Vysotskij
Էվերեստ	Mount Everest
Անատոմիա	Anatomi
Նապոլեոն Բոնապարտ	Napoléon Bonaparte
Օլիմպոս (Մարս)	Olympus Mons
Ֆիզիոլոգիա	Fysiologi
Աստղ	Stjerne
Վեզուվ	Vesuv
Արեգակ	Solen
Լուի Պաստյոր	Louis Pasteur
Լուսային տարի	Lysår
Գյուղ	Landsby
Վիկտոր Հյուգո	Victor Hugo
Օվկիանիա	Oseania
Ջուզեպպե Գարիբալդի	Giuseppe Garibaldi
Աթլետիկա	Friidrett
Գրաքննադատություն	Sensur (informasjon)
Արեգակնային համակարգ	Solsystemet
Բալթիկ ծով	Østersjøen
Տրիեստ	Trieste
Վիսլա	Wisła
Ջրածին	Hydrogen
Փաթի Սմիթ	Patti Smith
Հելիում	Helium
Դժոխք	Helvete
Վիքիպահեստ	Wikimedia Commons
Անգելա Մերկել	Angela Merkel
Լիթիում	Litium
Բերիլիում	Beryllium
Գիրք	Bok
Օր	Dag
Արևելյան Թիմոր	Øst-Timor
Գիշեր	Natt
Տարի	År
Դար	Århundre
Լոձ	Łódź
Մոնբլան	Mont Blanc
Հռենոս	Rhinen
Օսլո	Oslo
Բոն	Bonn
Կատովիցե	Katowice
Սև խոռոչ	Sort hull
Լուիշ դի Կամոենս	Luís de Camões
1+1 (ֆիլմ)	De urørlige
Սերես	Ceres (dvergplanet)
Լիսաբոն	Lisboa
Ժեշուվ	Rzeszów
Հոմեա	Haumea
Ռոն	Rhône
Մակեմակե	Makemake
Էրիս	Eris (dvergplanet)
Դուբայ	Dubai (by)
Դուբայի Էմիրություն	Dubai
Լիոնել Մեսսի	Lionel Messi
Պադովա	Padova
Բոր (քիմիական տարր)	Bor (grunnstoff)
Նիկոլայ Կոպեռնիկոս	Nikolaus Kopernikus
Վերսալ	Versailles
Ածխածին	Karbon
Ալեսանդրո Դել Պիեռո	Alessandro Del Piero
Վոլգա (գետ)	Volga
Ազոտ	Nitrogen
Թթվածին	Oksygen
Ինտեր Միլան	Inter
Մոլորակ	Planet
Կլեոպատրա	Kleopatra VII av Egypt
Երաժշտություն	Musikk
Վենետիկ	Venezia
Նարուտո	Naruto
Պո (գետ)	Po
Նևա (գետ)	Neva
Ռեն	Rennes
Լիլ	Lille
Մոսկվա	Moskva
Ֆտոր	Fluor
Իտալերեն	Italiensk
Նեոն	Neon
Սանկտ Պետերբուրգ	St. Petersburg
Չադ	Tsjad
Նատրիում	Natrium
Հյուսիս	Nord
Մագնեզիում	Magnesium
Ալյումին	Aluminium
Նոր Զելանդիա	New Zealand
Հարավ	Sør
Հնդկաստան	India
Սիլիցիում	Silisium
Ֆրանսիում	Francium
Թուվալու	Tuvalu
Վան Փիս	One Piece
Ֆոսֆոր	Fosfor
Անդրե Մարի Ամպեր	André-Marie Ampère
Երկաթ	Jern
Տոնգա	Tonga
Արևմուտք	Vest
Ալեսանդրո Վոլտա	Alessandro Volta
Ծծումբ	Svovel
Սամոա	Samoa
Սողոմոնյան Կղզիներ	Salomonøyene
Վանուատու	Vanuatu
Մոլիեր	Molière
Քլոր	Klor
Դելֆտ	Delft
Պապուա Նոր Գվինեա	Papua Ny-Guinea
Ուիլյամ Շեքսպիր	William Shakespeare
Առակ	Fabel
Հարավային Հոլանդիա	Zuid-Holland
Պալաու	Palau
Արգոն	Argon
Նաուրու	Nauru
Mozilla Firefox	Mozilla Firefox
Հեքիաթ	Eventyr
Հյուսիսային Հոլանդիա	Noord-Holland
Միկրոնեզիայի Ֆեդերատիվ Նահանգներ	Mikronesiaføderasjonen
Կալիում	Kalium
Օլիմպիկ Լիոն	Olympique Lyonnais
Զեյլանդ	Zeeland
Կալցիում	Kalsium
Ֆլևոլանդ	Flevoland
Կապար	Bly
Մարշալյան կղզիներ	Marshalløyene
Կիրիբատի	Kiribati
Մոնղոլիա	Mongolia
Ֆիջի	Fiji
Սկանդիում	Scandium
Տիտան	Titan (grunnstoff)
Վենեսուելա	Venezuela
Շախմատ	Sjakk
Չինգիզ խան	Djengis Khan
Վանադիում	Vanadium
Մեն	Maine
Քրոմ	Krom
Ձի	Hest
Ամստերդամ	Amsterdam
Զենք	Våpen
Կենդանիներ	Dyr
Սուրինամ	Surinam
Մանգան	Mangan
Պարագվայ	Paraguay
Գայանա	Guyana
Արվեստ	Kunst
Էկվադոր	Ecuador
Ռենիում	Rhenium
Կոլումբիա	Colombia
Կոբալտ	Kobolt
Ժան Ռասին	Jean Racine
Վոլֆրամ	Wolfram
Նիկել	Nikkel
Գետնաելակ	Jordbærslekta
Պիեռ Կոռնեյլ	Pierre Corneille
Բուդդայականություն	Buddhisme
Բոլիվիա	Bolivia
Օսմիում	Osmium
Խրոնինգեն (մարզ)	Groningen (provins)
Պղինձ	Kobber
Տրինիդադ և Տոբագո	Trinidad og Tobago
Պոլ Վեռլեն	Paul Verlaine
Բույսեր	Planter
Սենթ Վինսենթ և Գրենադիններ	Saint Vincent og Grenadinene
Ցինկ	Sink
Նյու Հեմպշիր	New Hampshire
Սենթ Լյուսիա	Saint Lucia
Լեոնարդո դա Վինչի	Leonardo da Vinci
Սենթ Քիթս և Նևիս	Saint Kitts og Nevis
Սնկեր	Sopper
Ճամայկա	Jamaica
Ստեֆան Մալարմե	Stéphane Mallarmé
Գրենադա	Grenada
Մասսաչուսեթս	Massachusetts
Դրենթե	Drenthe
Օվերեյսել	Overijssel
Գվատեմալա	Guatemala
Խելդերլանդ	Gelderland
Ուտրեխտ (համայնք)	Utrecht (provins)
Google Chrome	Google Chrome
Բահամյան Կղզիներ	Bahamas
Կոնեկտիկուտ	Connecticut
Անտիգուա և Բարբուդա	Antigua og Barbuda
Հավայի	Hawaii
Հոնդուրաս	Honduras
Դոմինիկա	Dominica
Ջերսի	Jersey
Դոմինիկյան Հանրապետություն	Den dominikanske republikk
Տնային խոզ	Gris
Հյուսիսային սառուցյալ օվկիանոս	Nordishavet
Հայիթի	Haiti
Տաումատաուկատանգիինգակոաոաոուտամատեապոկանուենուկիտանատահու	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Սալվադոր	El Salvador
Զվոլե	Zwolle
Իրան	Iran
Բթամտություն	Dumhet
Իրաք	Irak
Ալյասկա (նահանգ)	Alaska
Ասսեն	Assen
Կոստա Ռիկա	Costa Rica
Իսրայել	Israel
Ուտրեխտ	Utrecht (by)
Պանամա	Panama
Եմեն	Jemen
Լոզան	Lausanne
Վիրուսներ	Virus
Լեհերեն	Polsk
Հորդանան	Jordan
Նիկարագուա	Nicaragua
Ֆլորիդա	Florida
Ղրղզստան	Kirgisistan
Արիզոնա	Arizona
Քուվեյթ	Kuwait
Լաոս	Laos
Լիբանան	Libanon
Օրեգոն	Oregon
Մալդիվներ	Maldivene
Ամերիկա	Amerika
Յուտա	Utah
Կով	Storfe
Մալայզիա	Malaysia
Միխայիլ Բուլգակով	Mikhail Bulgakov
Մյանմա	Myanmar
Նեպալ	Nepal
Անդրեյ Ռուբլյով	Andrej Rubljov
Օման	Oman
Պակիստան	Pakistan
Ջեյմս Բոնդ	James Bond
Կատար	Qatar
Թենիս	Tennis
Ֆրանսուա Վիյոն	François Villon
MySQL	MySQL
Սաուդյան Արաբիա	Saudi-Arabia
Շրի Լանկա	Sri Lanka
Իոսիֆ Ստալին	Josef Stalin
Սիրիա	Syria
Պլատոն	Platon
Գալիում	Gallium
Իոսիֆ Բրոդսկի	Josif Brodskij
Տաջիկստան	Tadsjikistan
Չինաստանի Հանրապետություն	Republikken Kina
ՅուԹյուբ	YouTube
Գերմանիում	Germanium
Արիստոտել	Aristoteles
Թաիլանդ	Thailand
Արսեն	Arsen
Ռադիո	Radio
Մերիլ Սթրիփ	Meryl Streep
Թուրքմենստան	Turkmenistan
Աբական	Abakan
Սելեն	Selen
Իրիդիում	Iridium
Արաբական Միացյալ Էմիրություններ	De forente arabiske emirater
Բրոմ	Brom
Պլատին	Platina
Վիետնամ	Vietnam
Չարլի Չապլին	Charlie Chaplin
Նովոսիբիրսկ	Novosibirsk
Կորեայի Հանրապետություն	Sør-Korea
Սիմփսոններ	Simpsons
Եկատերինբուրգ	Jekaterinburg
Կրիպտոն	Krypton
Աֆղանստան	Afghanistan
Gangnam Style	Gangnam Style
Ջոն Ռոնալդ Ռուել Տոլկին	J. R. R. Tolkien
Սամարա	Samara
Ռուբիդիում	Rubidium
Ոսկի	Gull
Օմսկ	Omsk
Սուեզի ջրանցք	Suezkanalen
Կազան	Kazan
Գիտնական	Naturviter
Բանգլադեշ	Bangladesh
Բլիչ	Bleach (manga)
Ֆրանց Կաֆկա	Franz Kafka
Չելյաբինսկ	Tsjeljabinsk
Դոնի Ռոստով	Rostov-na-Donu
Խորխե Լուիս Բորխես	Jorge Luis Borges
Ուֆա	Ufa (by)
Մալի	Mali
Սոկրատես	Sokrates
Վոլգոգրադ	Volgograd
Անգոլա	Angola
Պերմ	Perm (by)
Բութան	Bhutan
Թվիթթեր	Twitter
Կրասնոյարսկ	Krasnojarsk
Բրունեյ	Brunei
Տանզանիա	Tanzania
Սնդիկ	Kvikksølv
Ռուալ Ամունդսեն	Roald Amundsen
Հարի Մուլիշ	Harry Mulisch
Ֆիլիպիններ	Filippinene
Կենտրոնաաֆրիկյան Հանրապետություն	Den sentralafrikanske republikk
Թալիում	Thallium
Հարավային բևեռ	Sydpolen
Հյուսիսային բևեռ	Nordpolen
Իսահակ Նյուտոն	Isaac Newton
Ալբերտ Այնշտայն	Albert Einstein
Ստրոնցիում	Strontium
Թմրամիջոց	Narkotika (rusmiddel)
Իտրիում	Yttrium
Բիսմութ	Vismut
Քվանտային մեխանիկա	Kvantemekanikk
Տոգո	Togo
Դոնալդ Տուսկ	Donald Tusk
Թունիս	Tunisia
Ջոն Բարդին	John Bardeen
Զամբիա	Zambia
Զիմբաբվե	Zimbabwe
Պեկին	Beijing
Հարավային Սուդան	Sør-Sudan
Վլադիվոստոկ	Vladivostok
Տիվա	Tuva (republikk)
Բենին	Benin
Բոտսվանա	Botswana
Վիքիլուրեր	Wikinytt
Բուրկինա Ֆասո	Burkina Faso
Բուրունդի	Burundi
Կոմորյան Կղզիներ	Komorene
Կոնգոյի Հանրապետություն	Republikken Kongo
Ալկմար (համայնք)	Alkmaar
Օբ (գետ)	Ob
Կոնգոյի Դեմոկրատական Հանրապետություն	Den demokratiske republikken Kongo
Սան Անտոնիո	San Antonio
Տոմսկ	Tomsk
Ջիբութի	Djibouti
Պոլոնիում	Polonium
Բավարիա	Bayern
Հասարակածային Գվինեա	Ekvatorial-Guinea
Բադեն-Վյուրթեմբերգ	Baden-Württemberg
Էրիթրեա	Eritrea
Նյու Դելի	New Delhi
Ալմելո	Almelo
Հովհաննես Պողոս II	Johannes Paul II
Ֆեոդոր Դոստոևսկի	Fjodor Dostojevskij
Ամերսֆորտ	Amersfoort
Կամչատկայի թերակղզի	Kamtsjatkahalvøya
Թբիլիսի	Tbilisi
Ապինգեդամ	Appingedam
Անդրեյ Սախարով	Andrej Sakharov
Աստատ	Astat
Գաբոն	Gabon
Մահաթմա Գանդի	Mahatma Gandhi
Կոմիքս	Tegneserie
Գամբիա	Gambia
Գվինեա	Guinea
Գվինեա Բիսաու	Guinea-Bissau
Կոտ դ'Իվուար	Elfenbenskysten
Կամերուն	Kamerun
Կաբո Վերդե	Kapp Verde
Լեսոթո	Lesotho
Լիբերիա	Liberia
Լիբիա	Libya
Աախեն	Aachen
Մադագասկար	Madagaskar
Մալավի	Malawi
Շտուտգարտ	Stuttgart
Մավրիտանիա	Mauritania
Լեհեր	Polakker
Մավրիկիոս	Mauritius
Մարոկկո	Marokko
Մոզամբիկ	Mosambik
Նամիբիա	Namibia
Նիգեր	Niger
Նիգերիա	Nigeria
Չարլզ Դարվին	Charles Darwin
Ուգանդա	Uganda
Ռուանդա	Rwanda
Ցիրկոնիում	Zirkonium
Սան Տոմե և Պրինսիպի	São Tomé og Príncipe
Կարլսրուե	Karlsruhe
Սենեգալ	Senegal
Սեյշելյան կղզիներ	Seychellene
Կարլ Լինեյ	Carl von Linné
Սիերա Լեոնե	Sierra Leone
Սոմալի	Somalia
Նիոբիում	Niob
Ջավահարլալ Ներու	Jawaharlal Nehru
Հուլիոս Կեսար	Julius Cæsar
Սուդան	Sudan
Սվազիլենդ	Swaziland
Ծիածան	Regnbue
Մոլիբդեն	Molybden
Տեխնեցիում	Technetium
Համբուրգ	Hamburg
Նյութափոխանակություն	Stoffskifte
Նարենդրա Մոդի	Narendra Modi
Իմուն համակարգ	Immunforsvar
Գուջարաթ	Gujarat
Օնտարիո լիճ	Ontariosjøen
Էվոլյուցիա	Evolusjon
Ալեսանդրո Մանձոնի	Alessandro Manzoni
Միավորված Ազգերի Կազմակերպություն	De forente nasjoner
Վերին լիճ	Lake Superior
Դանթե Ալիգիերի	Dante Alighieri
Երկրաբանություն	Geologi
Աշխարհագրություն	Geografi
Սիրտ	Hjerte
Գլխուղեղ	Hjerne
Մաշկ	Hud
Գույն	Farge
Ամբողջ ծանրությամբ	Breaking Bad
Սալեռնո	Salerno
Գոյական անուն	Substantiv
Պրահա	Praha
Ռութենիում	Ruthenium
Ռոդիում	Rhodium
Պալադիում	Palladium
Արծաթ	Sølv
Կադմիում	Kadmium
Լիմբուրխ (Նիդերլանդներ)	Limburg (Nederland)
Ինդիում	Indium
Լիմբուրգ (Բելգիայի նահանգ)	Limburg (Belgia)
Անագ	Tinn (grunnstoff)
Ուրան (տարր)	Uran
Ծարիր	Antimon
Տելուր	Tellur
Հյուսիսային Բրաբանդ	Noord-Brabant
Պլուտոնիում	Plutonium
Յոդ	Jod
Նեպտունիում	Neptunium
Քսենոն	Xenon
Անիմե	Anime
Ցեզիում	Cesium
Պրոտակտինիում	Protactinium
Էլեկտրական լիցք	Elektrisk ladning
Բարիում	Barium
Արևմտյան Ֆլանդրիա	Vest-Flandern
Արևելյան Ֆլանդրիա	Øst-Flandern
Թորիում	Thorium
Անտվերպեն (նահանգ)	Antwerpen (provins)
Ֆլամանդական Բրաբանտ	Flamsk Brabant
Հաֆնիում	Hafnium
Ակտինիում	Actinium
Վալոնյան Բրաբանտ	Vallonsk Brabant
Տանտալ	Tantal
Բիլ Քլինթոն	Bill Clinton
Նամյուր (նահանգ)	Namur
Լյուքսեմբուրգ (նահանգ)	Luxembourg (belgisk provins)
Լիեժ (նահանգ)	Liège (provins)
Ռադիում	Radium
Էնո	Hainaut
Ռադոն	Radon
Լոթարինգիա	Lorraine
Էլզաս	Alsace
Ժան Ֆիլիպ Ռամո	Jean-Philippe Rameau
Ինդիրա Գանդի	Indira Gandhi
Հեկտոր Բեռլիոզ	Hector Berlioz
Օվերն	Auvergne
Մումբայ	Mumbai
Արունաչալ Պրադեշ	Arunachal Pradesh
Միչիգան	Michigan
Միչիգան լիճ	Michigansjøen
Բուրգունդիա	Bourgogne
Հարյանա	Haryana
Հիմաչալ-Պրադեշ	Himachal Pradesh
Մորիս Ռավել	Maurice Ravel
Աքվիտանիա (երկրամաս)	Aquitaine
Ջամմու և Քաշմիր	Jammu og Kashmir
Պուերտո Ռիկո	Puerto Rico
Կառնատակա	Karnataka
Կերալա	Kerala
Մադհյա Պրադեշ	Madhya Pradesh
Լիմուզան	Limousin
Ժան Բատիստ Լյուլլի	Jean-Baptiste Lully
Մեգհալայա	Meghalaya
Հյուսիսային Հռենոս-Վեսթֆալիա	Nordrhein-Westfalen
Հեսսեն	Hessen
Սաքսոնիա	Sachsen
Ջոն Լենոն	John Lennon
Իլինոյս	Illinois
Թյուրինգիա	Thüringen
Սաքսոնիա-Անհալթ	Sachsen-Anhalt
Հյուսիսային Դակոտա	Nord-Dakota
Բրանդենբուրգ	Brandenburg
Լոմբարդիա	Lombardia
Հարավային Դակոտա	Sør-Dakota
Մոնտանա	Montana
Վայոմինգ	Wyoming
Սթրեյթ էդջ	Straight edge
Երուսաղեմ	Jerusalem
Այդահո	Idaho
Վալլե Դ'Աոստա	Aostadalen
Վաշինգտոն (նահանգ)	Washington
Բրյուս Սպրինգստին	Bruce Springsteen
Ռեզերֆորդիում	Rutherfordium
Նևադա	Nevada
Դոն (գետ)	Don
Դուբնիում	Dubnium
Սիբորգիում	Seaborgium
Ջուզեպե Սարագատ	Giuseppe Saragat
Հնդկական օվկիանոս	Indiahavet
Կոսովո	Kosovo
Կարիբյան ծով	Det karibiske hav
Բորիում	Bohrium
