阿非利加洲	Afrika
哲學	Filosofi
Category:速刪候	Kategori:Sider som er foreslått raskt slettet
茶	Te
馬可·波羅	Marco Polo
一三六三年	1363
共產主義	Kommunisme
一三六八年	1368
迦太基	Karthago
大英博物館	British Museum
巴拉頓湖	Balatonsjøen
蒙庇利埃	Montpellier
Category:天文	Kategori:Astronomi
吉他	Gitar
同性戀	Homofili
漢堡包	Hamburger
夸克	Kvark
高斯	Carl Friedrich Gauss
一六四四年	1644
一六四五年	1645
Category:恒星	Kategori:Stjerner
李白	Li Bai
伽羅華	Évariste Galois
政府	Regjering
秦始皇帝	Qin Shi Huangdi
秦二世皇帝	Qin Er Shi Huangdi
中東	Midtøsten
漢	Han-dynastiet
漢太祖高皇帝	Han Gaozu
漢孝惠皇帝	Han Huidi
漢少帝恭	Han Qianshaodi
漢少帝弘	Han Houshaodi
漢太宗孝文皇帝	Han Wendi
漢孝景皇帝	Han Jingdi
漢世宗孝武皇帝	Keiser Wu av Han
聖女貞德	Jeanne d’Arc
漢孝昭皇帝	Han Zhaodi
漢廢帝昌邑王	Changyi Wang He
漢中宗孝宣皇帝	Han Xuandi
漢孝元皇帝	Han Yuandi
漢孝成皇帝	Han Chengdi
漢孝哀皇帝	Han Aidi
漢孝平皇帝	Han Pingdi
漢孺子嬰	Ruzi Ying
王莽	Wang Mang
意理	Ideologi
帝國主義	Imperialisme
漢更始帝	Han Gengshidi
漢世祖光武皇帝	Han Guangwudi
共和	Republikk
漢顯宗孝明皇帝	Han Mingdi
國	Stat
漢肅宗孝章皇帝	Han Zhangdi
漢孝和皇帝	Han Hedi
漢孝安皇帝	Han Andi
漢少帝懿	Beixiang Hou
漢孝順皇帝	Han Shundi
漢孝沖皇帝	Han Chongdi
漢孝質皇帝	Han Zhidi
漢孝桓皇帝	Han Huandi
漢孝靈皇帝	Han Lingdi
漢少帝辯	Hongnong Wang
元	Yuan-dynastiet
漢孝獻皇帝	Han Xiandi
德意志第三帝國	Tysklands historie (1933–1945)
哥倫布	Christofer Columbus
庫克船長	James Cook
科爾蒂斯	Hernán Cortés
鄭和	Zheng He
大堡礁	Great Barrier Reef
巴拿馬運河	Panamakanalen
晉	Jin-dynastiet (265–420)
黃河	Den gule flod
晉武帝	Sima Yan
隋	Sui-dynastiet
西夏	Xixia-riket
脫氧核酸	DNA
趙宋	Song-dynastiet
宋太祖	Keiser Taizu av Song
宋徽宗	Keiser Huizong av Song
宋高宗	Keiser Gaozong av Song
宋孝宗	Keiser Xiaozong av Song
宋光宗	Keiser Guangzong av Song
宋寧宗	Keiser Ningzong av Song
宋理宗	Keiser Lizong av Song
宋度宗	Keiser Duzong av Song
宋恭帝	Keiser Gong av Song
宋端宗	Keiser Duanzong av Song
宋帝昺	Keiser Bing av Song
歐拉	Leonhard Euler
一七七四年	1774
一七七五年	1775
一七七六年	1776
一八六六年	1866
一八六七年	1867
一八六八年	1868
晝	Morgen
拿破崙二世	Napoleon II av Frankrike
砒霜	Arsenikk
一七九四年	1794
世界人權宣言	Menneskerettighetserklæringen
一七九五年	1795
一七九六年	1796
漢語	Kinesisk
細胞	Celle
全球暖化	Global oppvarming
禪宗	Zen
鼠標	Datamus
聖奧思定	Augustin av Hippo
精靈	Fe (eventyr)
朊	Protein
理則	Logikk
龍捲風	Tornado
幾何	Geometri
語法	Grammatikk
熱帶氣旋	Tropisk syklon
計學	Samfunnsøkonomi
語言學	Lingvistikk
文字	Skriftsystem
阿拉伯字	Det arabiske alfabetet
漢字	Kinesiske tegn
西里爾字母	Det kyrilliske alfabetet
孫子兵法	Kunsten å krige
Category:音樂	Kategori:Musikk
紅樓夢	Drømmen om det røde kammeret
Category:法國史	Kategori:Frankrikes historie
哈利波特	Harry Potter
放手銃	Onani
法文維基大典	Wikipedia på fransk
死刑	Dødsstraff
人權	Menneskerettigheter
乳	Melk
山	Fjell
沙漠	Ørken
孫文	Sun Yat-sen
薩拉丁	Saladin
阿育王	Ashoka den store
阿克巴大帝	Akbar den store
香港	Hongkong
韓戰	Koreakrigen
南北戰爭	Den amerikanske borgerkrigen
首爾特別市	Seoul
上海市	Shanghai
清	Qing-dynastiet
越戰	Vietnamkrigen
歐几里得	Euklid
巴斯克語	Baskisk
星座	Stjernebilde
拉脫維亞語	Latvisk
原子	Atom
宗教	Religion
朝鮮語	Koreansk
笛卡兒	René Descartes
官話	Mandarin (språk)
越南語	Vietnamesisk
猶太教	Jødedom
老子	Laozi
電鼠	Pikachu
尼采	Friedrich Nietzsche
司馬遷	Sima Qian
斯密亞丹	Adam Smith
朱熹	Zhu Xi
廷巴克圖	Timbuktu
洋	Verdenshav
阿奎那	Thomas Aquinas
英王維多利亞	Victoria av Storbritannia
釋迦牟尼	Buddha
馬丁·路德	Martin Luther
儒家	Konfucianisme
腹	Abdomen
陰脈	Vene
福克蘭群島	Falklandsøyene
陽脈	Arterie
唐	Tang-dynastiet
威爾斯王妃黛安娜	Diana, prinsessen av Wales
唐高祖	Keiser Gaozu av Tang
唐太宗	Keiser Taizong av Tang
唐玄宗	Keiser Xuanzong av Tang
唐德宗	Keiser Dezong av Tang
唐順宗	Keiser Shunzong av Tang
唐憲宗	Keiser Xianzong av Tang
唐敬宗	Keiser Jingzong av Tang
唐宣宗	Keiser Xuānzong av Tang
小學	Grunnskole
明	Ming-dynastiet
明太祖	Hongwu-keiseren
明惠宗	Jianwen-keiseren
明成祖	Yongle-keiseren
明仁宗	Hongxi-keiseren
明宣宗	Xuande-keiseren
明英宗	Zhengtong-keiseren
明代宗	Jingtai-keiseren
明憲宗	Chenghua-keiseren
明孝宗	Hongzhi-keiseren
明武宗	Zhengde-keiseren
明世宗	Jiajing-keiseren
明穆宗	Longqing-keiseren
明神宗	Wanli-keiseren
明光宗	Taichang-keiseren
明熹宗	Tianqi-keiseren
明思宗	Chongzhen-keiseren
電漿	Plasma
北斗七星	Karlsvognen
金正日	Kim Jong-il
元素週期表	Periodesystemet
自殺	Selvmord
九一一事件	Terrorangrepet 11. september 2001
電話	Telefon
梵語	Sanskrit
化合物	Kjemisk forbindelse
算術	Aritmetikk
化學元素	Grunnstoff
方程	Ligning (matematikk)
映射	Funksjon (matematikk)
角	Vinkel
分子	Molekyl
加速度	Akselerasjon
能量	Energi
弈	Go
金屬	Metall
氣體	Gass
液體	Væske
固體	Faststoff
船舶	Skip
農	Landbruk
速度	Hastighet
納米科技	Nanoteknologi
勾股定理	Pythagoras’ læresetning
證明	Matematisk bevis
數	Tall
複數	Komplekst tall
公斤	Kilogram
公尺	Meter
大麥	Bygg (korn)
繪畫	Malerkunst
華爾街	Wall Street
美國總統	USAs president
東南亞	Sørøst-Asia
瀋陽市	Shenyang
重慶市	Chongqing
天津市	Tianjin
武漢市	Wuhan
史前	Forhistorisk tid
古埃及	Oldtidens Egypt
白令海峽	Beringstredet
古希臘	Antikkens Hellas
傑弗遜	Thomas Jefferson
麥	Hveteslekten
格里曆	Gregoriansk kalender
麻雀 (棋牌)	Mahjong
鹽	Salt
牛頓（單位）	Newton (enhet)
度量衡	Måling
萬國公制	SI-systemet
集論	Mengdelære
哈里發塔	Burj Khalifa
長城	Den kinesiske mur
整數	Heltall
球	Kule (geometri)
大憲章	Magna Carta
阿兹特克	Aztekere
上塞納省	Hauts-de-Seine
東羅馬帝國	Østromerriket
奧斯曼帝國	Det osmanske rike
國內生產總值	Bruttonasjonalprodukt
銃	Skytevåpen
伊比利半島	Den iberiske halvøy
坦克	Stridsvogn
實數	Reelt tall
楈枒	Kokospalme
桃	Fersken
湘語	Xiang
冰酪	Iskrem
文胸	Brystholder
阿拉伯語	Arabisk
本州	Honshu
四國	Shikoku
地中海氣候	Middelhavsklima
科西嘉	Korsika
頂級域名	Toppnivådomene
百度	Baidu
澳門	Macao
土衛一	Mimas (måne)
土衛四	Dione
土衛三	Tethys (måne)
土衛五	Rhea (måne)
廣東省	Guangdong
廣西壯族自治區	Guangxi
蘇聯	Sovjetunionen
亡神星	90482 Orcus
塞德娜	90377 Sedna
孟德斯鳩	Charles Montesquieu
青馬大橋	Tsing Ma-broen
維基大典:卓著	Wikipedia:Utmerkede artikler
維基大典:會館	Wikipedia:Tinget
釜山廣域市	Busan
廣州市	Guangzhou
蔣中正	Chiang Kai-shek
南京市	Nanjing
君士坦丁堡	Konstantinopel
首爾地鐵	Seouls undergrunnsbane
北京大學	Pekinguniversitetet
清華大學	Tsinghuauniversitetet
烏魯木齊市	Ürümqi
江蘇省	Jiangsu
浙江省	Zhejiang
鄧小平	Deng Xiaoping
新好男孩	Backstreet Boys
西藏	Tibet
西藏自治區	Den autonome region Tibet
圓	Sirkel
歐氏幾何	Euklidsk rom
周恩來	Zhou Enlai
中國共產黨	Det kinesiske kommunistiske parti
馮諾曼	John von Neumann
偽基大典	Ikkepedia
太平山	Victoria Peak
公理	Aksiom
清聖祖	Kangxi-keiseren
朝鮮文維基大典	Wikipedia på koreansk
檀香山	Honolulu
紋章	Heraldikk
曼徹斯特聯足球俱樂部	Manchester United FC
平壤直轄市	Pyongyang
模 (代數)	Modul (matematikk)
訓民正音	Hunmin Jeongeum
九	9 (tall)
清高宗	Qianlong-keiseren
司徒華	Szeto Wah
蕭伯納	George Bernard Shaw
黑龍江省	Heilongjiang
香港島	Hongkongøya
鹼金屬	Alkalimetall
非金屬	Ikke-metall
鹵素	Halogen
稀有氣體	Edelgass
維基大典:正典	Wikipedia:Anbefalte artikler
四川省	Sichuan
舊約	Det gamle testamente
聖誕節	Jul
三角形	Trekant
印歐語系	Indoeuropeiske språk
穆阿邁爾·格達費	Muammar al-Gaddafi
獨島	Liancourt-øyene
江南區	Gangnam-gu
大田廣域市	Daejeon
大邱廣域市	Daegu
仁川國際機場	Incheon internasjonale lufthavn
仁川廣域市	Incheon
京畿道	Gyeonggi
自然數	Naturlig tall
萬國音標字	Det internasjonale fonetiske alfabetet
河北省	Hebei
革奴自由文檔許可協議	GNU fri dokumentasjonslisens
臺灣	Taiwan
紐約	New York (andre betydninger)
公元元年	1
魯迅	Lu Xun
八	8 (tall)
馬德堡半球	Magdeburgske halvkuler
主禱文	Fader vår
蒜	Hvitløk
白	Hvit
黑	Svart
六九八年	698
巴爾幹半島	Balkan
七二七年	727
墨索里尼	Benito Mussolini
四方	Himmelretning
十	10 (tall)
原子序	Atomnummer
九一八年	918
公元百年	100
五七〇年	570
四時	Årstid
二二二年	222
利物浦	Liverpool
鐵達尼號	RMS «Titanic»
五五二年	552
同位素	Isotop
蜚蠊	Kakerlakker
功率	Effekt
螢	Lysbiller
索布語	Sorbisk
一八一二年戰爭	1812-krigen
頂點	Hjørne
大理國	Dali (kongedømme)
朝鮮正祖	Jeongjo av Joseon
福岡市	Fukuoka (Fukuoka)
建城	Ab urbe condita
日本海	Japanhavet
中亞	Sentral-Asia
琉球國	Kongedømmet Ryukyu
伽倻	Gaya (føderasjon)
朝鮮國	Joseon
高麗國	Goryeo
大韓帝國	Keiserdømmet Korea
渤海國	Balhae
高句麗	Goguryeo
百濟	Baekje
新羅	Silla
扶餘	Buyeo
奧匈帝國	Østerrike-Ungarn
吸血鬼日記	Vampire Diaries
馬雅	Mayakulturen
印加國	Inkariket
縣	Fylke
韓非子	Han Feizi
錦州市	Jinzhou (Liaoning)
導數	Derivasjon
黃帝	Den gule keiser
釣魚臺列嶼	Senkakuøyene
中國	Kina
成都市	Chengdu
咖啡廳	Kafé
蒲公英	Løvetannslekta
雪豹	Snøleopard
二二一年	221
五四三年	543
五三六年	536
二三〇年	230
二〇二年	202
一九二年	192
總統	President
五五五年	555
五七一年	571
滿洲國	Mandsjukuo
二三一年	231
二二五年	225
三一一年	311
二二〇年	220
三一三年	313
五八七年	587
五四八年	548
五四九年	549
五五一年	551
五五七年	557
兄弟	Søsken
二二三年	223
二二四年	224
二一九年	219
大運河	Keiserkanalen
五八九年	589
黃宗羲	Huang Zongxi
三〇四年	304
五五〇年	550
五八六年	586
五八八年	588
五五四年	554
二二九年	229
五八三年	583
二六五年	265
二六三年	263
五八五年	585
五八二年	582
五五六年	556
四二〇年	420
二八〇年	280
五八一年	581
五五八年	558
國立臺灣大學	Taiwans nasjonale universitet
國立中山大學	Sun Yat-sen nasjonale universitet
客家語	Hakka (språk)
切羅基語	Cherokesisk
羅素悖論	Russells paradoks
五六九年	569
贛語	Gan (språk)
爪哇語	Javanesisk
司馬光	Sima Guang
滿語	Mandsjuisk
弧度	Radian
五五三年	553
三〇七年	307
五八四年	584
杜甫	Du Fu
人口	Befolkning
瓦爾帕萊索	Valparaíso
青銅	Bronse
情報及特殊使命局	Mossad
尼亞加拉瀑布	Niagarafallene
吳語	Wu (språk)
昭和天皇	Hirohito av Japan
基地組織	Al-Qaida
穆罕默德二世	Mehmet II
希臘神話	Gresk mytologi
秦	Qin (stat)
新疆維吾爾族自治區	Xinjiang
郵局	Postkontor
萬國首都全覽	Liste over hovedsteder etter land
周	Zhou-dynastiet
形而上學	Metafysikk
白宮	Det hvite hus
北海道	Hokkaido
科科斯（基林）群島	Kokosøyene
胡志明	Hồ Chí Minh
蘇軾	Su Shi
明尼阿波利斯	Minneapolis
集	Mengde
順化市	Huế
閩東語	Mindong
閩南語	Minnan
離子	Ion
壯族	Zhuang (folk)
南斯拉夫	Jugoslavia
長毛象	Mammuter
四邊形	Firkant
三船敏郎	Toshiro Mifune
文言	Wenyan
線	Linje
甲烷	Metan
孫武	Sunzi
中央情報局	Central Intelligence Agency
語法學	Syntaks
聯合國安全理事會	FNs sikkerhetsråd
眼鏡	Briller
火柴	Fyrstikk
多邊形	Polygon
市場	Marked
南海	Sørkinahavet
朝鮮世宗	Sejong den store
俳句	Haiku
黃海	Gulehavet
今上天皇	Akihito av Japan
橫濱市	Yokohama
普魯士	Preussen
前四年	4 f.Kr.
柳州市	Liuzhou
皇帝	Keiser
索契	Sotsji
壓強	Trykk
龍貓	Min nabo Totoro
线粒体	Mitokondrium
號	Østasiatisk kunstnernavn
吠陀	Vedaene
橢圓	Ellipse
杠杆	Vektstang
蟹	Krabber
前九十年	90 f.Kr.
酸鹼度	PH
美國革命	Den amerikanske uavhengighetskrigen
安徽省	Anhui
前九十一年	91 f.Kr.
忠清北道	Nord-Chungcheong
忠清南道	Sør-Chungcheong
內蒙古自治區	Indre Mongolia
金日成	Kim Il-sung
慶尚南道	Sør-Gyeongsang
慶尚北道	Nord-Gyeongsang
全羅北道	Nord-Jeolla
全羅南道	Sør-Jeolla
濟州特別自治道	Jeju
鬱陵島	Ulleungdo
巴別塔	Babels tårn
蔚山廣域市	Ulsan
光州廣域市	Gwangju
一元二次方程	Andregradsligning
李斯特	Franz Liszt
美式足球	Amerikansk fotball
前八十七年	87 f.Kr.
哥德爾	Kurt Gödel
摩爾	Mol (enhet)
華國鋒	Hua Guofeng
烷烴	Alkaner
希爾伯特	David Hilbert
前九十五年	95 f.Kr.
黃金分割	Det gylne snitt
福建省	Fujian
班夫國家公園	Banff nasjonalpark
查士丁尼一世	Justinian I den store
前七十四年	74 f.Kr.
慶州市	Gyeongju
安東市	Andong (Nord-Gyeongsang)
尚州市	Sangju
阿貝爾·塔斯曼	Abel Janszoon Tasman
海南省	Hainan
功	Arbeid (fysikk)
漢語拼音	Pinyin
莽原氣候	Savanne
甘肅省	Gansu
蘇州市	Suzhou
溫州市	Wenzhou
無錫市	Wuxi
湖州市	Huzhou
紹興市	Shaoxing
崑山市	Kunshan
寧波市	Ningbo
紙鳶	Drage (leketøy)
前二〇一年	201 f.Kr.
前二〇二年	202 f.Kr.
哈爾濱市	Harbin
油	Olje
拓撲學	Topologi
文身	Tatovering
金融學	Finans
雲南省	Yunnan
多項式	Polynom
山東省	Shandong
中南半島	Indokina
天擇	Naturlig seleksjon
地質年代	Geologisk tidsskala
壟斷	Monopol
河南省	Henan
遼寧省	Liaoning
席德	El Cid
刳剔者傑克	Jack the Ripper
前一五六年	156 f.Kr.
列奧尼達一世	Leonidas I
前一三九年	139 f.Kr.
前一二二年	122 f.Kr.
